trip_duration_days,miles_traveled,total_receipts_amount,miles_per_day,spend_per_day,spend_per_mile,expected_output
3,93,1.42,31,0.47,0.02,364.51
1,55,3.6,55,3.6,0.07,126.06
1,47,17.97,47,17.97,0.38,128.91
2,13,4.67,6.5,2.34,0.36,203.52
3,88,5.78,29.33,1.93,0.07,380.37
1,76,13.74,76,13.74,0.18,158.35
3,41,4.52,13.67,1.51,0.11,320.12
1,140,22.71,140,22.71,0.16,199.68
3,121,21.17,40.33,7.06,0.17,464.07
3,117,21.99,39,7.33,0.19,359.1
2,202,21.24,101,10.62,0.11,356.17
3,80,21.05,26.67,7.02,0.26,366.87
2,21,20.04,10.5,10.02,0.95,204.58
3,177,18.73,59,6.24,0.11,430.86
1,141,10.15,141,10.15,0.07,195.14
1,58,5.86,58,5.86,0.1,117.24
1,133,8.34,133,8.34,0.06,179.06
1,59,8.31,59,8.31,0.14,120.65
2,89,13.85,44.5,6.93,0.16,234.2
2,147,17.43,73.5,8.72,0.12,325.56
5,130,306.9,26,61.38,2.36,574.1
5,173,1337.9,34.6,267.58,7.73,1443.96
5,592,433.75,118.4,86.75,0.73,869
5,679,476.08,135.8,95.22,0.7,1030.41
5,708,1129.52,141.6,225.9,1.6,1654.62
5,261,464.94,52.2,92.99,1.78,621.12
5,794,511,158.8,102.2,0.64,1139.94
5,521,1448.55,104.2,289.71,2.78,1624.01
5,595,863.93,119,172.79,1.45,1231.67
5,811,952.39,162.2,190.48,1.17,1608.6
5,477,704.42,95.4,140.88,1.48,1045.96
5,730,485.73,146,97.15,0.67,991.49
5,262,1173.79,52.4,234.76,4.48,1485.59
5,446,219.98,89.2,44,0.49,788.62
5,751,407.43,150.2,81.49,0.54,1063.46
5,324,128.94,64.8,25.79,0.4,686.54
5,414,967,82.8,193.4,2.34,1368.94
5,367,290.78,73.4,58.16,0.79,742.25
5,764,848.75,152.8,169.75,1.11,1468.46
5,249,873.75,49.8,174.75,3.51,1185.24
8,862,1817.85,107.75,227.23,2.11,1719.37
11,927,1994.33,84.27,181.3,2.15,1779.12
9,602,186.69,66.89,20.74,0.31,1085.4
8,610,208.29,76.25,26.04,0.34,841.27
12,333,1103.21,27.75,91.93,3.31,1618.13
8,435,1129.65,54.38,141.21,2.6,1525.26
9,218,1203.45,24.22,133.72,5.52,1561.63
12,781,1159.18,65.08,96.6,1.48,1752.72
11,916,1036.91,83.27,94.26,1.13,2098.07
10,358,2066.62,35.8,206.66,5.77,1624.11
12,566,2013.7,47.17,167.81,3.56,1752.03
9,954,1483.39,106,164.82,1.55,2024.2
9,534,1929.94,59.33,214.44,3.61,1624.87
12,765,1343.97,63.75,112,1.76,1953.03
8,630,967.69,78.75,120.96,1.54,1388.05
10,909,696,90.9,69.6,0.77,1505.19
10,223,745.89,22.3,74.59,3.34,1037.45
8,467,1178.71,58.38,147.34,2.52,1483.33
9,708,461.07,78.67,51.23,0.65,1110.6
9,885,1764.97,98.33,196.11,1.99,1694.37
6,855,591.35,142.5,98.56,0.69,1339.72
2,993,54.24,496.5,27.12,0.05,715.19
5,685,747.14,137,149.43,1.09,1216.36
3,981,341.45,327,113.82,0.35,813.95
5,770,873.33,154,174.67,1.13,1502.49
6,697,651.64,116.17,108.61,0.93,1237.71
3,795,450.85,265,150.28,0.57,743.94
3,606,1184.23,202,394.74,1.95,1364.54
3,842,865.37,280.67,288.46,1.03,1251.14
7,748,241.73,106.86,34.53,0.32,971.31
7,624,148.16,89.14,21.17,0.24,905.79
2,713,740.33,356.5,370.17,1.04,1048.28
3,874,1191.4,291.33,397.13,1.36,1515.99
6,761,530.19,126.83,88.37,0.7,1120.1
1,815,97.89,815,97.89,0.12,539.36
1,601,497.7,601,497.7,0.83,644.12
7,817,1127.87,116.71,161.12,1.38,1809.91
1,606,923,606,923,1.52,1050.05
1,909,741.82,909,741.82,0.82,866.07
3,624,1160.92,208,386.97,1.86,1459.34
4,650,619.49,162.5,154.87,0.95,676.38
6,204,818.99,34,136.5,4.01,628.4
1,263,396.49,263,396.49,1.51,198.42
1,451,555.49,451,555.49,1.23,162.18
10,424,474.99,42.4,47.5,1.12,831.96
2,565,389.49,282.5,194.75,0.69,415.96
9,397,348.49,44.11,38.72,0.88,913.29
1,532,413.99,532,413.99,0.78,355.57
2,384,495.49,192,247.75,1.29,290.36
5,754,489.99,150.8,98,0.65,765.13
1,344.46,813.85,344.46,813.85,2.36,707.88
3,906.3,540.03,302.1,180.01,0.6,848.42
3,1007.56,187.52,335.85,62.51,0.19,764.64
1,359.62,221.15,359.62,221.15,0.61,255.57
1,362.79,749.19,362.79,749.19,2.07,636.51
1,288.72,159.26,288.72,159.26,0.55,303.94
2,782.17,830.72,391.09,415.36,1.06,1165.44
2,623.18,347.54,311.59,173.77,0.56,625.15
3,1061.15,388.5,353.72,129.5,0.37,693.36
1,252.75,285.5,252.75,285.5,1.13,331.74
3,1020.39,250.62,340.13,83.54,0.25,779.08
1,257.97,816.81,257.97,816.81,3.17,738.01
3,1025.03,592.55,341.68,197.52,0.58,992.4
2,794.32,402.31,397.16,201.16,0.51,671.06
1,276.85,485.54,276.85,485.54,1.75,361.66
2,851.68,473.96,425.84,236.98,0.56,650.68
3,859.12,611.07,286.37,203.69,0.71,960.47
3,1317.07,476.87,439.02,158.96,0.36,787.42
1,388.1,827.37,388.1,827.37,2.13,741.46
1,264.39,758.27,264.39,758.27,2.87,636.19
5,198.21,594.83,39.64,118.97,3,807.48
6,72.85,457.75,12.14,76.29,6.28,666.59
8,297.64,481.09,37.21,60.14,1.62,835.08
7,237.33,1262.27,33.9,180.32,5.32,1452.17
5,195.73,1228.49,39.15,245.7,6.28,511.23
8,276.28,1179.9,34.54,147.49,4.27,1522.6
8,302.24,1046.04,37.78,130.76,3.46,1353.77
8,266.87,252.08,33.36,31.51,0.94,880.41
9,310.69,239.64,34.52,26.63,0.77,828.16
6,222.08,709.07,37.01,118.18,3.19,1031.34
8,264.94,720.67,33.12,90.08,2.72,1019.85
8,161.15,1230.37,20.14,153.8,7.63,1499.24
9,259.96,554.74,28.88,61.64,2.13,835.54
9,97.85,518.56,10.87,57.62,5.3,850.57
9,194.34,1054.93,21.59,117.21,5.43,1374.9
9,332.35,374.61,36.93,41.62,1.13,830.45
5,126.44,696.14,25.29,139.23,5.51,845.35
5,66.13,848.03,13.23,169.61,12.82,1050.25
6,135.34,1144.13,22.56,190.69,8.45,1478.11
6,233.7,346.98,38.95,57.83,1.48,648.57
9,849,1007.41,94.33,111.93,1.19,1785.47
6,806,1760.64,134.33,293.44,2.18,1718.76
8,891,1194.36,111.38,149.3,1.34,2016.46
9,1182,1342.24,131.33,149.14,1.14,2164.15
7,1010,1514.03,144.29,216.29,1.5,2063.98
8,892,1768.53,111.5,221.07,1.98,1902.37
6,825,1692.73,137.5,282.12,2.05,1817.77
8,1118,1758.52,139.75,219.82,1.57,1852.47
8,1064,1756.52,133,219.57,1.65,1857.04
6,811,1252.04,135.17,208.67,1.54,1771.8
7,889,1417.96,127,202.57,1.6,1826.08
9,1012,1429.04,112.44,158.78,1.41,1880.76
6,909,1332.18,151.5,222.03,1.47,1720.21
9,1096,1690.22,121.78,187.8,1.54,1894.85
9,913,1021.29,101.44,113.48,1.12,1964.86
6,1006,1219.71,167.67,203.29,1.21,1803.97
6,907,1650.17,151.17,275.03,1.82,1737.86
9,816,1171.81,90.67,130.2,1.44,1780.58
7,1006,1181.33,143.71,168.76,1.17,2279.82
6,835,1404.28,139.17,234.05,1.68,1765.79
12,528,2476.41,44,206.37,4.69,1662.88
4,69,2321.49,17.25,580.37,33.64,322
11,1179,31.36,107.18,2.85,0.03,1550.55
13,756,954.4,58.15,73.42,1.26,1793.07
1,123,2076.65,123,2076.65,16.88,1171.68
3,1162,2152.66,387.33,717.55,1.85,1434.71
1,822,2170.53,822,2170.53,2.64,1374.91
11,558,1549.86,50.73,140.9,2.78,1823.47
2,753,1111.16,376.5,555.58,1.48,1353.87
10,224,407.51,22.4,40.75,1.82,794.7
6,383,462.79,63.83,77.13,1.21,800.3
8,1005,1391.37,125.63,173.92,1.38,1987.39
10,1145,311.43,114.5,31.14,0.27,1366.61
5,1004,2367.63,200.8,473.53,2.36,1743.85
5,873,1402.35,174.6,280.47,1.61,1676.79
2,165,1813.32,82.5,906.66,10.99,1273.45
5,1076,190.33,215.2,38.07,0.18,879.65
12,986,2390.92,82.17,199.24,2.42,1760
7,948,657.17,135.43,93.88,0.69,1578.97
3,429,2400.13,143,800.04,5.59,1411.95
4,362,646.43,90.5,161.61,1.79,788.53
2,622,1871.56,311,935.78,3.01,1494.23
1,140,255.99,140,255.99,1.83,150.34
8,123,612.55,15.38,76.57,4.98,851.24
4,87,2463.92,21.75,615.98,28.32,1413.52
10,164,1144.9,16.4,114.49,6.98,1516.43
1,989,2196.84,989,2196.84,2.22,1439.17
4,470,1968.63,117.5,492.16,4.19,1501.1
1,37,1397.17,37,1397.17,37.76,1092.94
8,488,439.7,61,54.96,0.9,1030.13
12,757,897.4,63.08,74.78,1.19,1780.07
14,958,1727.76,68.43,123.41,1.8,2065.16
2,456,2390.7,228,1195.35,5.24,1342.39
5,733,41.18,146.6,8.24,0.06,771.83
5,291,1279.7,58.2,255.94,4.4,1477.12
10,478,2091.79,47.8,209.18,4.38,1568.41
8,817,1455.73,102.13,181.97,1.78,1847.26
6,1043,1404.35,173.83,234.06,1.35,1807.42
2,958,1855.58,479,927.79,1.94,1549.54
9,524,474.75,58.22,52.75,0.91,935.4
6,45,81.59,7.5,13.6,1.81,522.58
8,342,2259.06,42.75,282.38,6.61,1502.02
12,379,1897.29,31.58,158.11,5.01,1682.98
6,333,1254.68,55.5,209.11,3.77,1585.02
2,634,1739.81,317,869.91,2.74,1490.51
5,285,974.73,57,194.95,3.42,1282.84
12,33,1249.13,2.75,104.09,37.85,1707.38
9,118,1285.82,13.11,142.87,10.9,1539.77
1,420,2273.6,420,2273.6,5.41,1220.35
11,312,2072.39,28.36,188.4,6.64,1586.22
10,753,2054.02,75.3,205.4,2.73,1779.08
5,125,96.38,25,19.28,0.77,570.99
6,597,888.84,99.5,148.14,1.49,1395.65
12,1065,203.2,88.75,16.93,0.19,1408.25
1,214,540.03,214,540.03,2.52,402.81
11,886,922.66,80.55,83.88,1.04,1852.24
10,621,978.73,62.1,97.87,1.58,1656.28
4,1000,2355.34,250,588.84,2.36,1699.56
13,534,1765.96,41.08,135.84,3.31,1881.36
6,475,1800.71,79.17,300.12,3.79,1671.23
11,623,2265.21,56.64,205.93,3.64,1739.18
1,620,973.91,620,973.91,1.57,1112.02
13,1004,1757.75,77.23,135.21,1.75,1960.67
8,962,1929.63,120.25,241.2,2.01,1897.19
14,516,1464.67,36.86,104.62,2.84,1842.1
11,685,2272.75,62.27,206.61,3.32,1873.94
3,307,266.21,102.33,88.74,0.87,540.97
3,375,1346.21,125,448.74,3.59,1339.93
4,1124,2177.18,281,544.3,1.94,1567.43
3,779,2110.9,259.67,703.63,2.71,1520.73
8,1173,671.25,146.63,83.91,0.57,1419.34
14,47,1667.14,3.36,119.08,35.47,1745.18
3,981,2008.83,327,669.61,2.05,1539.47
5,516,1450.67,103.2,290.13,2.81,1547.5
6,471,332.51,78.5,55.42,0.71,872.19
2,941,1565.77,470.5,782.89,1.66,1432.79
10,377,301.96,37.7,30.2,0.8,837.36
7,273,285.83,39,40.83,1.05,793.58
