Complexity,Loss,Equation
1,224400.7,"1337.43"
3,123603.62,"x5 * 201.88368"
4,102898.68,"log(x24) ^ 2.8083894"
5,72948.3,"sqrt(sqrt(x23 * 5.490995e8))"
7,56190.027,"sqrt(sqrt(x23)) * (x6 + 130.0232)"
8,46426.465,"sqrt((x22 - (x2 / -0.16594474)) * 173.51768)"
9,38845.062,"(669.32697 ^ x10) + (sqrt(sqrt(x22)) * 123.24159)"
11,33631.152,"(681.8313 ^ (x10 - x21)) + (sqrt(sqrt(x22)) * 122.81872)"
13,28287.781,"(697.846 ^ (x10 - (x21 + x20))) + (121.96091 * sqrt(sqrt(x22)))"
15,25289.627,"(684.724 ^ (x10 - (x21 + x20))) + sqrt((sqrt(x22) + x0) * 13538.287)"
17,25090.797,"(690.7893 ^ (x10 - (x21 + x20))) + (sqrt((x0 + sqrt(x22)) * 15040.216) + -56.142788)"
19,24413.943,"sqrt((x0 + sqrt(x22)) * 13425.23) + ((687.9176 ^ (x10 - (x21 + x20))) + (x20 * -144.06406))"
21,23168.014,"sqrt(sqrt((x2 + x22) * 611.9965) * 1030.3983) + ((570.2243 ^ ((x10 - x21) + (x20 * -521.3589))) - 316.49414)"
23,21591.64,"sqrt(sqrt((x2 + x22) * 933.0545) * 870.993) + ((((x20 * -937.177) + (552.08044 - (x21 * 870.993))) * x10) - 327.75662)"
25,19828.773,"(sqrt(sqrt((x2 + x22) * 536.05096) * 796.4248) - 248.18626) + (((573.9572 ^ x10) + (x0 * 17.851807)) * ((x21 ^ x20) - x21))"
27,19241.475,"(sqrt(sqrt((x22 + x2) * 551.7709) * 817.6277) + ((((x0 * 16.119825) + x5) + (x10 * 567.1334)) * ((-0.42912754 ^ x20) - x21))) - 259.38068"
28,18884.115,"(((((x0 * 15.719099) + (x10 * 565.01135)) + 167.43103) * ((x12 ^ x20) - sqrt(x21))) + sqrt(sqrt((x2 + x22) * 472.7185) * 816.4382)) - 366.44144"
30,18654.707,"((((-0.20296031 ^ x20) - x21) * ((((x0 + sqrt(x18)) * 15.562802) + (x10 * 554.6624)) + 137.19106)) + sqrt(sqrt((x22 + x2) * 531.4774) * 790.2803)) - 346.269"
