Complexity,Loss,Equation
1,224400.7,"1337.4274"
3,223700.2,"x2 + 1337.3032"
5,101370.125,"(x2 * 350.7353) + 1337.387"
6,99648.266,"sqrt(x5 + 1.7357711) * 1049.8768"
7,49301.625,"((x4 + 4.7699966) + x2) * 280.37393"
8,39394.984,"sqrt(x2 + (x4 + 2.7215981)) * 851.56226"
10,38631.105,"(sqrt(x2 + (x4 + 2.4868913)) * 754.4021) - -229.51018"
12,34918.72,"(sqrt((x4 + (x2 + 3.0760152)) * 65.54757) + x1) / 0.010242213"
14,34865.824,"((x1 + sqrt(((x4 + 3.165782) + x2) * 110.38025)) + x5) / 0.013615239"
16,34362.76,"((x1 + sqrt(((x2 + x4) + 3.0760152) * 65.54757)) / 0.01023252) + (x5 / x1)"
18,33757.383,"(sqrt(((x2 + x4) + 3.0760152) * 65.54757) / 0.01023252) + (((1.195691 - x6) * x5) / 0.018368576)"
20,31355.258,"((x1 + sqrt(((x2 + x4) + 3.0760152) * 65.54757)) / 0.01023252) + (x5 * ((x2 - x6) / 0.018368576))"
22,30605.168,"((x1 + sqrt(((x2 + x4) + 3.0760152) * 65.54757)) / 0.01023252) + (x5 * ((x2 - (x6 + -0.24821797)) / 0.018368576))"
24,30277.262,"((sqrt((((x4 + 3.0914862) + x2) * 2.4347594) / 0.045598738) + x1) / 0.009296708) + ((x5 * (x2 - (x6 - 0.5347718))) / 0.015748281)"
26,28643.213,"(((x4 - ((x6 + (1.3192576 / x3)) * x5)) + 9.935611) * 64.97692) + ((x5 + sqrt((x2 + (x4 + 2.5196304)) / 0.057045802)) * 127.20874)"
28,27513.504,"(((sqrt((x2 + (x4 + 4.0946746)) / 0.030811172) * 1.5054139) + x1) / 0.012054495) + (61.655365 * (x4 - (x5 * ((0.97249454 / x3) + (-1.2949743 + x6)))))"
30,27387.904,"((x1 + (sqrt(((x2 + x4) + 4.1034503) / 0.031040521) * 1.5098372)) / 0.012042599) + ((61.655544 - x4) * (x4 - (((x6 + (0.97185826 / x3)) + -1.295429) * x5)))"
