Complexity,Loss,Equation
1,224400.7,"1337.4274"
3,223700.19,"x2 + 1337.2997"
5,101370.13,"(-3.8134663 - x2) * -350.68994"
7,49301.625,"((x2 + x4) * 280.36426) + 1337.3412"
9,41239.652,"(((x2 + x4) + x1) - -7.023842) * 190.40479"
11,38665.99,"(x4 + (x2 + ((x1 / 1.7409468) - -5.892852))) * 226.95001"
13,37351.07,"(-27.482979 - ((x5 + (x4 + x2)) * (4.087023 - x5))) * -49.969856"
15,33886.758,"(-49.969856 * (-27.482979 - (((x2 + x5) + x4) * (4.087023 - x5)))) * 1.0691315"
17,30618.246,"((84.979004 / (-11.884617 - (x5 * (x4 + x0)))) - ((x4 + x2) + x5)) * -201.95941"
19,29426.123,"((120.276695 / (-16.081348 - ((x0 + (x1 + x4)) * x5))) - ((x4 + x2) + x5)) * -195.3025"
21,28522.06,"((157.47464 / (-18.484468 - ((x5 - 0.5426585) * ((x1 + x4) + x0)))) - ((x2 + x5) + x4)) * -169.3468"
23,27775.365,"((111.919235 / (-13.421463 - ((x5 * ((x4 + x0) - -0.30114788)) - x1))) - ((x4 * 1.282081) + (x5 + x2))) * -172.0876"
27,27373.64,"((x0 / -0.120990425) + -148.55313) * ((184.95467 / (-18.945553 - ((((x0 + x1) + x4) + x6) * x5))) - (x2 + (x5 + (x4 * 1.6429107))))"
29,27186.57,"((187.66217 / (-19.02349 - ((x4 + (x6 + (x1 + x0))) * x5))) - ((x5 + (x4 * 1.7375605)) + x2)) * (((x0 / -0.11997417) + -147.1429) + x4)"
