Complexity,Loss,Equation
1,224400.7,"1337.4297"
3,223700.2,"x4 + 1337.3032"
5,101370.125,"(x4 * 350.7425) + 1337.3838"
7,49301.62,"(x6 + (x4 + 4.7699814)) * 280.37524"
9,41239.652,"(((x6 + 7.024626) + x4) + x3) * 190.38506"
11,33538.324,"(x0 + (x4 + ((x3 + x1) + 7.9257183))) * 168.7361"
13,32801.008,"(171.70222 - x9) * ((x0 + 7.800743) + (x2 + (x4 + x1)))"
15,28432.217,"(16.618471 - x9) * (((x4 + x2) + ((x1 + 7.0534735) + x0)) * 11.58647)"
17,27489.182,"((x2 + (((x4 + x0) + x1) + 6.9423623)) * (31.825485 - (x8 + x9))) * 6.16323"
19,26551.877,"(((x0 + (x4 + x1)) + (x2 + 7.150651)) * (38.60719 - (x9 + (x9 * x8)))) * 4.95594"
21,26089.328,"(((70.54657 - (x8 + (x9 * x2))) * 6.330166) - 252.23631) * (((x0 + x4) + 7.178858) + (x2 + x1))"
23,24669.445,"(x2 + (((x1 + x0) + 7.1136293) + x4)) * (((73.85759 - (x8 + ((x5 + x9) * x2))) * 5.693549) - 222.47716)"
25,24102.768,"(x4 + (x2 + (x1 + ((1.1669413 * x0) + 7.6919394)))) * ((3.9965622 * (78.10515 - (x2 * ((x8 + x5) + x9)))) - 129.32625)"
27,23825.225,"(((73.61578 - ((x5 + (x9 + x8)) * x2)) * 4.517788) - (x4 + 146.86517)) * ((x4 + x2) + (x1 + ((x0 * 1.1668904) + 7.6231875)))"
29,23821.562,"((((73.8461 - ((x5 + (x9 + x8)) * x2)) * 4.5418434) - (x4 + 149.68553)) * ((x4 + x2) + ((x1 + (x0 * 1.1678395)) + 7.667113))) - 7.94646"
