Complexity,Loss,Equation
1,224400.7,"1337.4283"
3,223700.2,"x4 - -1337.4935"
5,101370.13,"(350.76556 / x4) + 1109.1951"
7,49301.625,"(x4 + (x6 + 4.7699513)) * 280.3765"
9,41239.652,"(((x4 + x6) + 7.024561) + x3) * 190.3865"
11,33538.332,"((((x4 + x1) + x0) + x3) + 7.9260073) * 168.73532"
13,32802.742,"(x4 + (((x0 + x1) + 7.2099695) + (x2 * 0.72706944))) * 185.49043"
15,32111.12,"(186.589 - x8) * (x0 + ((((x2 * 0.7468041) + 7.177826) + x1) + x4))"
17,31325.99,"(x0 + ((x4 / 0.772821) + ((x2 * 0.5867332) + (x1 + 7.48965)))) * (178.89018 - x8)"
19,28179.46,"(((x6 * -3.454571) * (x2 + x0)) + ((x3 - -12.1700535) * (x4 + (x6 - -5.2088704)))) * 21.676527"
21,26450.928,"(((x3 - -12.079067) * (x6 + (x4 - -5.6152472))) + (((x0 + -4.432767) * x6) * (x9 + x0))) * 20.387007"
23,25758.781,"((((x0 + -4.3186436) * ((x0 + -0.5683809) + x9)) * x6) + ((x4 + (x6 - -6.4207706)) * (x3 - -10.512756))) * 20.577473"
25,25577.852,"(((((x0 + (x9 * 0.7578481)) + -0.47664753) * x6) * (x0 + -4.940052)) + ((x3 - -10.881299) * ((x4 + x6) - -6.248167))) * 20.513102"
27,25438.979,"((((((x9 + x0) + -0.57197237) * (x6 + x8)) * (x9 + -3.1463687)) + ((x3 - -13.174879) * ((x6 + x4) - -6.8859444))) + x0) * 15.225514"
29,24366.275,"((x7 + (((x9 + x0) + -0.8185193) * ((x6 + x8) * (x9 + -3.6842268)))) + (((x3 - -13.401969) * ((x6 + x4) - -7.3182116)) + x0)) * 14.325295"
