Complexity,Loss,Equation
1,224400.7,"1337.4279"
3,223700.22,"x4 + 1337.3689"
5,101370.13,"(x4 * 350.78128) + 1337.3833"
6,99682.336,"sqrt((x7 + 1.7123474) * 1.1219444e6)"
7,49301.625,"((x4 + x6) + 4.7699366) * 280.37723"
8,39395.047,"sqrt(((x6 + x4) + 2.7222939) * 724829.8)"
10,36274.12,"sqrt((x6 + ((x7 + 3.9321291) + x4)) * 500887.94)"
12,34154.82,"sqrt((x4 + (((x7 / 1.7767745) + 3.3751945) + x6)) * 584326.4)"
13,32846.39,"((x7 + (x6 + x4)) * ((x7 - 3.9109588) * -53.116547)) + 1446.1621"
14,32703.436,"sqrt((((x4 + (x6 + 3.000166)) * (x3 + 8.827846)) + x0) * 72040.7)"
15,32128.246,"(((x7 + (x6 + x4)) * (x7 - 4.0507317)) * (x3 + -50.520084)) + 1446.9103"
16,30225.707,"sqrt((x4 + ((x6 + x7) + 3.705659)) * ((3744.698 - (x7 * 394.91415)) * 151.74112))"
17,29830.152,"((x7 - 2.6975145) * ((((x6 + x4) + -2.1010714) + (x8 * 0.4245331)) * -70.94685)) + 1829.0254"
18,28183.4,"sqrt(((3742.703 - (x5 * (x2 * 413.13855))) * ((x6 + x7) + (3.8391414 + x4))) * 147.61436)"
20,27649.2,"sqrt((x6 + ((x7 + x4) + 3.6139364)) * ((4637.2285 - (x2 * (x5 * 560.58734))) * 107.42664)) - -129.95898"
22,27596.037,"(sqrt(((x6 + (x7 + x4)) + 3.6139364) * ((4637.2285 - (x2 * (x5 * 560.58734))) * 107.42664)) - -129.95898) + x1"
24,26624.33,"sqrt(((((x7 + x4) + 4.0646124) + (x6 * 1.4350446)) * 100.159676) * (3751.0186 - (x2 * ((x5 + -0.7432241) * 569.96826)))) - -221.43622"
26,26298.781,"sqrt((((x4 + (x7 + 4.0646124)) + (1.4350446 * x6)) * 100.159676) * (3751.0186 - ((x2 * 397.17807) * ((1.4350446 * x5) + -0.7432241)))) - -223.4523"
28,26275.549,"sqrt(((((x4 + x7) + 4.0646124) + (1.4350446 * x6)) * 100.159676) * (3751.0186 - ((x2 * 397.17807) * ((1.4350446 * x5) + -0.7432241)))) - (-223.4523 - x3)"
30,26001.914,"sqrt(((x7 + x4) + ((x6 * 1.4350446) + 4.0646124)) * ((3751.0186 - ((x2 * ((x5 * 1.4350446) + -0.8963665)) * 397.17807)) * 100.159676)) - ((4.0646124 ^ x8) + -223.4523)"
