Complexity,Loss,Equation
1,224400.7,"1337.2863"
3,201627.81,"-270.1261 / x8"
5,101370.13,"(x6 * 350.6743) + 1337.3032"
7,49301.62,"((x10 + x6) + 4.7699394) * 280.3771"
9,41239.652,"((x6 + x3) + (x10 + 7.024608)) * 190.38548"
11,33538.324,"(((x3 + x1) + x0) + (x6 + 7.9259005)) * 168.73799"
13,33324.44,"((x0 + 8.006867) + ((x3 + x6) + x1)) * (x6 + 166.79083)"
15,32100.432,"((-0.11809846 / x0) + 167.41164) * ((x3 + (x1 + (x0 + 7.929083))) + x6)"
17,30424.146,"(((x3 * 0.29746163) + ((x6 + 5.0891848) + x10)) * 274.60757) - ((x10 * 95.48278) * x0)"
19,28707.584,"((((x3 * 0.2947047) + (x10 + x6)) + 5.076171) * 271.8249) - ((x10 + x12) * (x0 * 59.707355))"
21,27901.568,"(((x10 + 5.424785) + (x6 + (x3 * 0.35970706))) * 253.8465) - ((((x10 - 0.61943096) + x12) * 55.848015) * x0)"
23,27812.408,"(((((x3 * 0.3619781) + x6) + x10) + 5.438245) * (253.21817 + x4)) - ((x0 * ((x12 + x10) - 0.6271571)) * 55.80913)"
25,27080.154,"(((x10 + (x3 * 0.37329587)) + (x6 + 5.4875355)) * ((-0.13142742 / x0) + 249.19516)) - (((x12 + x10) - 0.7203794) * (x0 * 53.11309))"
27,27005.336,"(((x3 * 0.37326223) + ((x6 + 5.4874125) + x10)) * ((-0.13142379 / x0) + 249.20175)) - (((x10 + x12) - 0.72015446) * ((x0 * 53.11518) + x8))"
29,26965.473,"(((((x10 + (x3 * 0.37329587)) + x6) + 5.4875355) * ((-0.13142742 / x0) + 249.19516)) - ((x0 * 53.11309) * (x12 + (x10 - 0.7203794)))) + (x4 / 0.20338653)"
