Complexity,Loss,Equation
1,224400.7,"1337.4298"
3,201627.8,"-270.10925 / x8"
5,101370.13,"(x6 + 3.8127296) * 350.774"
7,49301.625,"((x6 + 4.7698793) + x10) * 280.37918"
9,41239.656,"(((x10 + x3) + x6) * 190.38553) + 1337.3821"
11,33538.332,"((((x0 + x3) + x6) + x1) * 168.7371) + 1337.3829"
13,33062.152,"(((x1 + (x3 + x0)) + x6) * (169.54088 - x7)) + 1336.2164"
15,31099.62,"(((x3 + ((x6 + x1) + x0)) * (26.224504 - x7)) + 200.15572) * 6.650964"
17,28088.666,"((((x2 * -5.3375554) + 23.36841) * (((x6 + x0) + x1) - 3.3132932)) + 261.0954) * 7.509758"
19,27460.377,"(5.5216246 - (x1 * -0.8128154)) * ((((x12 * -9.746181) + 30.510956) * (x0 + (x2 + x6))) + 255.1659)"
21,25859.99,"(x10 + (((x6 + (x0 + x2)) * ((x12 * -0.98314154) + 2.6928647)) + 23.952438)) * (58.851917 - (x1 * -7.134125))"
23,25148.92,"((x10 + 20.180508) + (((x0 + x6) + x2) * ((x12 - 2.7860553) * -0.823057))) * ((69.95741 - x5) - (x1 * -8.003691))"
25,24668.104,"((-0.040842615 / x0) + (61.65567 - (x1 * -7.3132124))) * ((((x6 + (x0 + x2)) * ((x12 * -0.9280701) + 2.54723)) + 22.699673) + x10)"
27,24431.7,"((60.650063 - (x1 * -6.970683)) * (x10 + ((((x0 + x2) + x6) * ((x12 * -0.93898714) + 2.6028783)) + 23.063566))) - ((x10 - -0.80089885) / x0)"
29,24420.414,"(x9 + ((60.160847 - (x1 * -6.9283533)) * (((((x12 * -0.94872457) + 2.6215925) * (x6 + (x0 + x2))) + 23.25666) + x10))) - ((x10 - -0.79423773) / x0)"
