Complexity,Loss,Equation
1,224400.7,"1337.4283"
3,201627.81,"-270.12357 / x8"
5,101370.13,"(x6 * 350.74014) + 1337.3873"
7,49301.62,"((x6 + x10) * 280.37924) + 1337.3817"
8,39309.777,"log((x10 + 4.010687) + x6) * 1022.0406"
10,38521.277,"((log(x10 - -1.3280352) + x6) * 318.30988) + 1340.9956"
11,35252.63,"(x6 * 312.77325) + (((x1 + x0) / 0.0056026876) + 1337.3574)"
13,34785.316,"((x3 * 150.32155) + (((x13 + x0) + x6) * 177.624)) + 1337.3832"
15,32579.533,"((((x6 + x0) + 19.117743) * ((x3 + x1) + 21.747654)) + -257.41843) / 0.119283006"
17,30772.338,"(((x2 + (x3 + x6)) * 55.93926) + 1337.3793) + (((x1 + x6) + x0) * 172.26569)"
19,30759.834,"((((x2 + (x3 + x6)) * 55.93926) + 1337.3793) + (((x1 + x6) + x0) * 172.26569)) - x4"
21,30253.88,"((((x3 + (x1 + 21.38572)) * (x6 + (x0 + 16.329302))) + -213.85382) / 0.10203395) + ((x7 - x5) * 39.37577)"
23,30169.229,"(((((x6 + x0) + 16.329327) * (x3 + (x1 + 21.38574))) + -213.85382) / 0.10181494) + ((x11 + 42.438496) * (x7 - x5))"
25,28482.613,"(((((x6 + 17.41902) + x0) * (x3 + (x1 + 20.863375))) + -218.52113) / 0.10776736) + ((x8 + x11) * ((x10 / -0.018993657) + -0.6330661))"
27,28124.713,"(((((x3 + x1) + 20.071058) * ((x4 / x4) + ((x6 + x0) + 17.217531))) + -222.16905) / 0.107758455) + ((x10 / -0.017832464) * (x8 + x14))"
29,27712.137,"((((x3 + (x1 + 20.863304)) * ((x4 / x4) + ((x6 + 16.491602) + x0))) + -218.52113) / 0.10908087) + (((x8 + x14) + x11) * (x10 / -0.032193813))"
