Complexity,Loss,Equation
1,224400.7,"1337.4297"
3,201627.8,"-270.1123 / x8"
5,101370.125,"(x6 * 350.73648) + 1337.389"
7,49301.62,"((x10 + x6) + 4.7699413) * 280.37692"
9,45271.05,"(((x4 + 5.9050393) + x6) + x0) * 226.48154"
11,33538.324,"(x1 + (x0 + (x6 + (x3 + 7.92587)))) * 168.73631"
13,32802.74,"(((x6 + (x1 + (x2 * 0.7272447))) + x0) + 7.2102294) * 185.48207"
15,28432.832,"((x2 + x6) + (x1 + (x0 + 7.061863))) * ((16.789024 - x14) / 0.087309554)"
17,27594.016,"((((x0 + (x1 + 8.179306)) + (x2 + x6)) / 0.4730492) - (x14 * x2)) * 81.92485"
19,25726.184,"(((x1 + (((x0 + x6) + 7.8877316) + x2)) / 0.3179732) - (x14 * (x9 + x12))) * 56.36246"
21,25065.379,"(((x1 + ((x6 + x2) + (x0 + 7.7053022))) / 0.25715116) - ((x9 + x2) * x14)) * (47.045017 - x12)"
23,24477.271,"((49.161636 - x12) - x6) * (((x0 + (x6 + (x2 + (x1 + 7.5011516)))) / 0.25951985) - (x14 * (x2 + x9)))"
25,23698.287,"((42.718166 - (x2 * x12)) - x6) * (((x1 + (x6 + ((x0 + 7.618542) + x2))) / 0.22792812) - ((x9 + x2) * x14))"
27,23620.248,"x7 + (((((x6 + ((x1 + x0) + 7.493838)) + x2) * 5.0403233) - ((x2 + x9) * x14)) * ((37.757576 - (x12 * x2)) - x6))"
29,23596.053,"(((38.17234 - (x2 * x12)) - x6) * ((((x1 + ((x6 + x0) + 7.5089393)) + x2) * 4.9742184) - (x14 * (x9 + x2)))) + (x0 + x7)"
