Complexity,Loss,Equation
1,224400.7,"1337.4298"
3,201627.8,"-270.14258 / x8"
5,101370.13,"(x6 * 350.73322) - -1337.3845"
7,49301.62,"((x6 + x10) * 280.37732) + 1337.3822"
9,41239.656,"(((x10 + x6) + x3) * 190.38625) - -1337.3824"
11,33538.332,"(((x6 + (x0 + x1)) + x3) * 168.73596) - -1337.3826"
13,32459.621,"(((x3 + x1) + 9.0422325) * 147.90273) - ((x0 + x6) * -189.90411)"
15,28088.648,"(49.015583 - ((x2 - 4.3859534) * ((x6 + x0) + (x1 - 3.3176408)))) * 40.021297"
17,27743.455,"(47.10107 - ((x2 - 4.49236) * ((x0 + ((x1 * 0.8722878) + x6)) - 3.0356882))) * 41.237576"
19,25470.432,"(26.901545 - (x14 * x2)) * (95.809784 - ((x2 - 6.4704657) * (x0 + ((x1 - 6.668147) + x6))))"
21,24955.822,"(26.08806 - (x2 * x14)) * ((x0 + 99.79738) - ((x0 + ((x1 - 7.281127) + x6)) * (x2 - 6.241703)))"
23,24278.031,"((90.20365 - (((x6 + (x0 + x1)) - 6.365272) * (x2 - 6.233782))) * (27.787346 - (x14 * x2))) + (x5 / x0)"
25,24051.826,"((-0.022031814 / x0) + (34.326725 - (x14 * x14))) * ((x11 + 63.04078) - ((x1 + ((x0 - 4.6251245) + x6)) * (x2 - 4.7662263)))"
27,24035.277,"(x5 / x0) + ((32.28354 - (x14 * x2)) * (x11 + ((58.54244 - ((x0 + ((x1 + x6) - 4.473019)) * (x2 - 4.445101))) * 1.129161)))"
29,23612.162,"(x5 / x0) + ((((x9 - x5) + 79.75969) - ((((x6 + (x1 - 6.8214455)) * 0.7971879) + x0) * (x2 - 6.4525003))) * (31.273657 - (x2 * x14)))"
