Complexity,Loss,Equation
1,224400.7,"1337.2863"
3,201627.81,"-270.12396 / x8"
5,101370.13,"(x6 - -3.8127947) * 350.76266"
6,100629.19,"9.130424 ^ sqrt(x3 + 10.464992)"
7,49301.625,"((x6 + x10) * 280.37857) + 1337.3818"
9,41239.652,"((x3 + (x10 + x6)) * 190.38576) + 1337.3822"
10,38521.273,"((x6 + log(x10 + 1.3278403)) * 318.28876) + 1341.0658"
11,37557.273,"(((4.8117037 - x0) * (x6 + x10)) + 24.01675) * 57.454464"
13,32465.287,"((((4.8117037 - x0) * (x6 + x10)) + x3) + 24.01675) * 57.454464"
15,30145.436,"((((x10 + x6) * (3.6552548 - x0)) + (x3 + x11)) + 21.18226) * 65.406006"
17,29978.213,"((((x10 + x6) * (3.6552548 - x0)) + (x3 + x11)) + 21.18226) * (65.406006 + x4)"
19,29090.307,"((x4 + ((((x10 + x6) * (3.389908 - x0)) + x3) + (x0 + x2))) + 22.947918) * 60.270676"
21,27536.02,"(56.98126 - ((x12 + (x14 - 3.7176063)) * x11)) * ((((x10 + x6) * (4.2953744 - x0)) + x3) + 24.425142)"
23,27070.613,"(((x10 + x6) * (4.2953744 - x0)) + (x3 + 24.425142)) * ((56.98126 - (((x12 + x14) - 3.7176063) * x11)) + x13)"
25,26984.86,"(52.701683 - ((x0 + x14) * x4)) * (((x0 + x2) + ((x3 + 26.246716) + x1)) + ((4.3522735 - x0) * (x6 + x10)))"
27,26500.125,"((x3 + ((4.073592 - x0) * (x10 + x6))) + 23.909704) * ((58.49247 - ((x11 * (x12 + (x14 - 4.985061))) + (x11 * x10))) + x1)"
29,26375.336,"(52.701683 - (((x0 + x14) + (x3 * x9)) * x4)) * (((x2 + (x3 + (26.246716 + x1))) + x0) + ((x6 + x10) * (4.3522735 - x0)))"
