Complexity,Loss,Equation
1,224400.7,"1337.4297"
3,201627.8,"-270.1123 / x8"
5,101370.13,"(x6 + 3.8128736) * 350.75305"
7,49301.625,"((x10 + 4.769717) + x6) * 280.39047"
9,41239.652,"((x10 + (x6 + x3)) * 190.38516) + 1337.3832"
11,35957.5,"((x6 + x10) * ((x0 * -76.23568) + 300.13452)) + 1395.3324"
13,33962.734,"(1412.9263 - ((x0 * x10) * 119.93647)) + ((x10 + x6) * 315.18384)"
15,33487.8,"((x10 + x6) * 305.43777) - (((x10 * (x14 + x0)) * 79.76321) + -1396.8501)"
17,29301.713,"((x6 * 258.7373) + 1625.4979) - ((x10 + -0.98682076) * ((x2 + (x0 + -3.5574565)) * 67.478676))"
19,28700.023,"(((x2 / (x6 + 1.7671502)) * 210.21037) - (((x10 + -0.30498403) * 94.44837) * (x0 + -2.8873398))) + 1655.3214"
21,26455.037,"(((x6 + (x1 / 2.3799574)) * 223.4767) + 1642.4971) - ((x10 + -1.8715113) * ((x0 + (x2 + -2.4169796)) * 57.754646))"
23,26339.465,"(1642.5333 - (((x10 + -1.8640213) * (x0 + (-2.4239857 + x2))) * (57.820293 - x3))) + (((x1 / 2.3890307) + x6) * 223.37115)"
25,26191.158,"(((x1 / 2.3890307) + x6) * 223.37115) + ((1642.5333 - ((-1.8640213 + x10) * (57.820293 * ((x2 + x0) + -2.4239857)))) + (x0 / x2))"
27,26141.346,"(1629.6554 - ((57.64841 * (x2 + (x0 + -2.42202))) * (x10 + -1.8721697))) + ((-0.21352836 / x0) + (((x6 + (x1 / 2.372028)) * 222.91508) + 12.989338))"
