Complexity,Loss,Equation
1,224400.7,"1337.4274"
3,223700.19,"x6 - -1337.2997"
5,101370.125,"(x6 * 350.735) + 1337.388"
7,49301.617,"((x10 + x6) + 4.770206) * 280.36646"
9,41239.652,"((x6 + (x10 + x3)) - -7.0245457) * 190.38687"
11,33740.31,"((x6 + ((x1 + x0) + x2)) * 169.8124) + 1337.3817"
13,33030.742,"(((x6 + x11) + x10) * ((x2 * -67.12301) + 181.6014)) + 1448.6902"
15,30840.613,"((x2 + -17.117512) * (((x6 + (x1 + x2)) + x0) * -9.457071)) + 1360.4307"
17,26650.707,"(((x2 * -2.8801196) + 12.51647) * (((x6 + (x1 + x2)) + x0) * 12.929074)) + 1413.624"
19,26631.758,"((((x2 * -2.8784187) + 12.549019) * (((x6 + (x1 + x2)) + x0) * 12.920276)) + 1413.1412) - x6"
21,25662.582,"10.623679 * (((5.732622 - x0) * (((x6 + (x11 + x10)) * (2.9797935 + (x2 * -0.80597335))) + x1)) + 137.68947)"
23,24943.535,"((((5.3150496 - x0) * ((((x6 + x11) + x10) * ((x2 * -0.7858688) + 2.8723726)) + x1)) + 125.8589) - x5) * 11.615658"
25,24732.533,"10.623679 * (137.68947 + ((((x1 + ((x6 + (x10 + x11)) * (2.9797935 + (x2 * -0.80597335)))) * (5.732622 - x0)) - x5) - x5))"
27,24658.598,"((((((x11 + (x10 + x6)) * ((-0.80597335 * x2) + 2.9797935)) + x1) * (5.732622 - x0)) + (137.68947 - (x14 / x9))) - x5) * 10.623679"
29,24636.256,"((((((x2 * -0.8444216) + 2.8625813) * (x10 + (x11 + x6))) + x4) * (5.822101 - x0)) + (((x12 + (140.12784 - x5)) - x10) + x2)) * 10.429946"
