Complexity,Loss,Equation
1,224400.7,"1337.4299"
3,201627.8,"-270.1428 / x8"
5,101370.13,"(x6 * 350.71948) + 1337.3837"
7,49301.62,"((x6 + x10) + 4.770046) * 280.3707"
9,41245.543,"((x6 + (x10 + x3)) / 0.0052228905) + 1337.3818"
11,33538.547,"(x0 + (((x3 + x1) + 7.9174438) + x6)) / 0.0059201373"
13,33453.332,"((((x6 + 7.9174438) + (x0 + x3)) + x1) / 0.0059201373) + x7"
15,31394.205,"(-642.2995 / ((x6 + ((x1 + 17.130592) + (x0 + x2))) / 64.381805)) - -3820.682"
17,30105.357,"(-642.32056 / ((((x0 * 1.2149519) + ((x2 + x1) + 17.1379)) + x6) / 64.43623)) - -3821.7585"
19,27604.91,"((((x0 + 8.236131) - (x2 * (x14 * 0.4683063))) + ((x6 + x2) + x1)) / 0.040894777) / 0.14223199"
21,26028.92,"(((((x12 + x9) * (x2 * -0.3335369)) + (x6 + (x1 + (x0 + x2)))) + 7.9702454) / 0.08019351) / 0.07098422"
23,24420.541,"((((x2 * ((x12 + x9) * -0.4035417)) + (x0 * 1.2922473)) + (x2 + ((x6 + x1) + 8.624569))) / 0.08030565) / 0.07595428"
25,23992.04,"((((((((x2 * (x9 + x12)) * -0.40889913) + x2) + 8.621345) + x1) + ((x0 * 1.2910309) + x6)) / 0.081218146) + x4) / 0.07513472"
27,23817.947,"((x4 - x14) + (((((x0 * 1.2910309) + (((x2 * (x9 + x12)) * -0.40889898) + x2)) + x6) + (x1 + 8.621345)) / 0.081163965)) / 0.07506943"
29,23745.074,"(((x13 + x4) - x14) + (((x0 * 1.2910309) + ((((x12 + x9) * (-0.40889898 * x2)) + (x2 + (x6 + x1))) + 8.621345)) / 0.081163965)) / 0.07506943"
