Complexity,Loss,Equation
1,224400.7,"1337.43"
3,201627.8,"-270.10916 / x8"
5,101370.13,"(x6 + 3.8126335) * 350.7741"
7,49301.62,"(x6 + (x10 + 4.769753)) * 280.38696"
9,45271.047,"1337.394 - (((x4 + x6) + x0) * -226.48747)"
11,33538.33,"1337.3816 - ((((x1 + x3) + x6) + x0) * -168.73662)"
13,32802.742,"(x2 * 134.86804) - ((((x6 + x0) + x1) * -185.48885) + -1337.3817)"
15,25680.562,"(((x14 * -39.465187) - -167.13605) * (((x6 + x2) + x0) + x1)) + 1410.2943"
17,25609.443,"(((x1 + x0) + (x2 + x6)) * ((x14 * (-39.047016 - x13)) - -167.85301)) + 1409.473"
19,24508.797,"(((((x6 + x2) + x1) + x0) * ((x14 * -39.33643) - -166.45682)) + (x5 / x0)) + 1399.18"
21,24441.3,"((((x6 + x0) + x2) + (x1 - -0.3731506)) * ((x14 * -37.132164) - -170.49426)) + ((x5 / x0) + 1331.4869)"
23,23955.686,"((x5 / x0) + ((((x14 * -46.309322) - -151.38629) * (x0 + ((x1 + x2) + x6))) + 1412.0636)) - (x11 * -47.089783)"
25,23877.838,"(x5 / x0) + ((((x6 + ((x0 + (x2 - -0.3357526)) + x1)) * ((x14 * -44.02139) - -155.5547)) + 1355.6107) - (x11 * -47.46314))"
27,23829.83,"(((x5 / x0) + 1359.8414) + ((((x14 * -44.798355) - -154.77916) + x13) * (((x1 + x2) + x6) + (x0 - -0.31168306)))) - (x11 * -48.92097)"
29,23794.13,"((x5 / x0) + ((((((x14 * -44.85286) - -154.71814) + x13) + x13) * ((x1 + (x2 + x6)) + (x0 - -0.32139617))) + 1358.3761)) - (x11 * -49.468746)"
