Complexity,Loss,Equation
1,224400.7,"1337.4287"
3,223700.2,"x6 - -1337.3024"
5,101370.13,"(x6 - -3.8130014) * 350.74905"
7,49301.62,"(x10 - (-4.769902 - x6)) * 280.37927"
9,41239.652,"((x3 + x6) - (-7.0248365 - x10)) * 190.37874"
11,33538.332,"(x1 + ((x3 + x6) - (-7.925759 - x0))) * 168.73572"
13,32801.01,"((x6 + (x1 + x2)) - (-7.8007874 - x0)) * (171.70438 - x14)"
15,28432.217,"((x1 + (x2 + x6)) - (-7.053748 - x0)) * (192.53879 - (x14 / 0.08634136))"
17,27984.97,"(((x6 + x1) + x2) - (-6.9925094 - x0)) * ((194.55289 - (x14 / 0.08409752)) - x10)"
19,26041.414,"(((x6 + (x1 + x2)) - (-7.8597436 - x0)) * 177.88927) - ((x11 + x12) * (x14 / 0.022574047))"
21,24642.36,"((((x1 + x2) + x6) - (-7.4253454 - x0)) * 187.16237) - ((x14 * (x12 + (0.9007599 + x9))) / 0.020645916)"
23,24534.088,"((x0 + 188.32127) * (((x1 + x2) + x6) - (-7.3787355 - x0))) - (x14 * ((0.94618076 + (x12 + x9)) / 0.020204369))"
25,24519.621,"((x0 + 188.32127) * (x1 + ((x2 + x6) - (-7.3787355 - x0)))) - (x13 + ((x14 * ((x12 + 0.94618076) + x9)) / 0.020204369))"
27,24208.645,"((((x1 + x2) + (x6 - (-7.4253454 - x0))) * 187.16237) - ((x14 * ((x9 + x12) + 0.9007599)) / 0.020645916)) + (-1.107908 / (x0 - 0.020645916))"
29,24195.154,"(((x1 + (x2 + (x6 - (-7.4253454 - x0)))) * 187.16237) - ((x14 * (((x9 + x12) + 0.9007599) / 0.020645916)) + x13)) + (-1.107908 / (x0 - 0.020645916))"
