Complexity,Loss,Equation
1,224400.7,"1337.43"
3,201627.81,"-270.12357 / x8"
5,101066.89,"(1.3825651 ^ x3) * 1268.0721"
6,99648.26,"sqrt(x11 + 1.7356476) * 1049.9427"
7,49301.62,"((x6 + x10) * 280.3884) + 1337.3816"
8,39394.996,"sqrt((x6 + 2.7216825) + x10) * 851.5502"
10,39273.86,"sqrt(x6 + (x10 + 2.7244043)) * (x2 + 850.7793)"
11,35247.05,"((0.35790855 ^ x6) + ((-9.154177 - x1) - x0)) * -180.16353"
12,34380.566,"(sqrt(x0 + (x1 + 3.9392595)) + (x6 * 0.4504246)) * 686.6533"
13,28855.27,"((-9.156657 - x0) + (((0.44800037 ^ x2) - x1) - x6)) * -171.12675"
15,28644.385,"((-9.156657 - x0) + (((0.44800037 ^ x2) - x1) - x6)) * (-171.12675 + x2)"
17,28630.79,"((x2 + -171.12675) * ((((-9.156657 - x0) + (0.44800037 ^ x2)) - x1) - x6)) - x1"
18,28082.207,"(sqrt((x1 + (((x6 + x0) + 45.230476) - x14)) + (x2 * 1.746377)) + -6.168152) * 2413.3115"
19,27963.287,"((x2 + -171.12675) * (((0.44800037 ^ x2) - x1) + ((-9.156657 - x0) - x6))) + (-0.2981759 / x0)"
22,26534.264,"(x2 * 142.49901) + (((sqrt(((x1 + x0) + 8.718018) + x6) + -1.6756982) * -45.898026) * ((x12 * x2) - 23.853481))"
24,25815.426,"((x2 * -8.376252) + ((sqrt(((15.290905 - x14) + x0) + (x6 + x1)) + -2.9412353) * -35.803406)) * ((x12 * x2) - 39.514385)"
26,25597.531,"((x2 * -8.376252) + ((sqrt(((15.290905 + x0) - x14) + (x6 + x1)) + -2.9412353) * -35.803406)) * ((x2 * x12) - (39.514385 + x7))"
28,25211.84,"((((x2 * -2.7423677) * (0.77971745 ^ ((x1 + x0) - -0.9438238))) + -8.598418) * (sqrt((x0 + (x6 - x14)) + (x1 + 17.375652)) + -3.2118378)) * -165.09572"
30,24855.812,"((sqrt((((14.507412 - x14) + (x1 / 1.1586282)) + x6) + x0) + -2.8208513) * -161.87471) * (((x2 * -3.0808642) * (0.78061575 ^ ((x0 + x1) - -1.4140872))) + -8.50446)"
