Complexity,Loss,Equation
1,224400.7,"1337.4274"
3,201627.81,"-270.12396 / x8"
4,101434.3,"abs(-1158.8668 / x6)"
5,101370.14,"(x6 * 350.7563) - -1337.3818"
6,100916.33,"abs((x10 - -1158.8606) / x6)"
7,49301.625,"((x10 + x6) + 4.769997) * 280.37396"
9,41239.656,"(((x10 + 7.024232) + x6) + x3) * 190.39435"
10,40958.523,"abs((x3 + (x10 + x6)) + 6.9002833) * 193.50322"
11,33538.332,"(((x0 + x6) + 7.926166) + (x1 + x3)) * 168.72954"
12,32245.068,"abs(((x0 + ((x3 + x1) + x6)) + 7.5352974) * 176.63509)"
14,30992.84,"(((x0 + (x1 + x2)) + 7.626198) + x6) * (177.96614 - exp(x11))"
15,25680.562,"(((x2 + (x1 + x6)) + x0) * (167.13557 - (x14 * 39.465466))) + 1410.2948"
17,25619.725,"((170.94489 - (x14 * 37.38116)) * ((x6 + (x1 + x0)) + (x2 + 0.3511967))) + 1346.4058"
19,24935.709,"((x0 + (((x1 + x2) + 8.986915) + x6)) * 172.60141) + ((abs(x14) + abs(x0)) * -125.0806)"
20,24484.729,"((((x6 + x2) + x0) + (x1 + 9.2749405)) * 172.46632) + ((abs(x14) + sqrt(abs(x0))) * -152.78827)"
21,24094.854,"((relu(x14 + x12) + abs(x0)) * -91.35455) + ((((x1 + x6) + 7.4649) + (x0 + x2)) * 199.0641)"
22,22972.107,"((((x0 + (x2 + x6)) + x1) + 8.181959) * 187.99904) + ((abs(x14 + relu(x12)) + abs(x0)) * -96.69366)"
23,22972.104,"relu((((x0 + ((x2 + x6) + x1)) + 8.181877) * 188.00006) + ((abs(x14 + relu(x12)) + abs(x0)) * -96.69157))"
24,22657.627,"((abs(x0) + abs((x14 + -0.22985525) + relu(x12))) * -102.02624) + (((x1 + (x2 + (x6 + 8.499992))) + x0) * 182.6342)"
26,22346.525,"((abs(x0) + abs((x14 + relu(x12)) + -0.23025241)) * -102.03209) + (((x1 + ((x6 + 8.419641) + x0)) + x2) * (184.56909 - x9))"
28,22109.428,"((((x1 + (x6 + 8.489707)) + x2) + x0) * (182.72208 - (x14 * x5))) + ((abs(x0) + abs(relu(x12) + (x14 + -0.23634344))) * -101.05334)"
30,21951.45,"abs((((x1 + 8.463584) + ((x6 + x0) + x2)) * (183.29276 - (x5 * exp(x14)))) + ((abs((x14 + -0.24205533) + relu(x12)) + abs(x0)) * -101.0095))"
31,21946.701,"((abs(relu(x12) + (x14 + -0.20701528)) + abs(x0)) * (-99.89591 - relu(10.960506 / x0))) + ((188.07129 - x6) * ((x2 + 8.319663) + (x0 + (x1 + x6))))"
33,21835.867,"((abs(relu(x12) + (x14 + -0.19735828)) + abs(x0)) * (-97.7946 - relu(9.655756 / x0))) + ((186.22208 - (x14 * x0)) * (x1 + (((x2 + 8.361583) + x0) + x6)))"
34,21714.15,"(((x6 + (x1 + (x2 + 8.437608))) + x0) * ((183.64417 - (x14 * x5)) - (x5 * x14))) + ((-99.844444 - x6) * (abs(x0) + abs(relu(x12) + (x14 + -0.24288522))))"
36,21597.684,"((abs(x0) + abs(-0.2547523 + (x14 + relu(x12)))) * -99.90682) + (-2.0711286 + (((x6 + x0) + (x1 + (8.42054 + x2))) * ((184.06174 - ((x2 / 0.52939504) * x5)) - (x14 * x5))))"
38,21518.604,"((abs(x0) + abs((-0.2547523 + x14) + relu(x12))) * ((-99.90682 - x6) - x6)) + ((((x6 + x0) + (x1 + x2)) + 8.42054) * ((184.06174 - ((x2 / 0.52939504) * x5)) - (x14 * x5)))"
40,21510.541,"((abs(x0) + abs((-0.2547523 + x14) + relu(x12))) * ((-99.90682 - x6) - x6)) + (((x6 + (x0 + (x1 + x2))) + 8.42054) * ((184.06174 - ((x2 / 0.52939504) * x5)) - ((x3 + x2) * x5)))"
