Complexity,Loss,Equation
1,224400.7,"1337.4274"
3,223700.22,"x6 + 1337.3647"
5,101370.13,"(x6 * 350.8615) + 1337.373"
7,49301.62,"((x10 + 4.7699027) + x6) * 280.37927"
9,45956.457,"((x10 * 236.9231) + 1337.3638) + (x6 * 323.82654)"
11,41239.734,"((((x10 + x6) + x3) / 0.087508515) + 80.32738) * 16.649227"
13,39478.785,"(x0 + (((x10 + (x6 + x3)) / 0.09028684) + 79.6171)) * 16.79641"
15,36955.82,"(((x3 + (x10 + x6)) / 0.09299346) + ((x0 * 4.3512573) + 80.89489)) * 16.532375"
17,32826.8,"(((x0 + ((x1 + -0.29829466) + (x6 + (x3 * 0.75302136)))) / 0.13132556) + 57.951355) * 24.016647"
23,32582.883,"(((-0.3506019 / x0) + (((((x6 + ((x0 + x1) + x2)) / 0.13344061) + 51.512615) / -0.3794113) * -3.36587)) + 63.87213) * 2.549655"
25,32548.438,"((((-0.3506019 / x0) + (((((x6 + ((x0 + x1) + x2)) / 0.13344061) + 51.512615) / -0.3794113) * -3.36587)) + 63.87213) * 2.549655) + x0"
27,31719.863,"((((((x2 + (x6 + x1)) / 0.1071113) + (x3 + 62.846016)) / -0.3773397) * -2.666709) + (((x12 - (x0 / 0.26824373)) + -3.728176) / -0.056063823)) * 2.6285884"
29,31313.695,"((((-3.728176 - (x0 / 0.26824373)) / -0.056063823) - (x14 / 0.0683764)) + ((((x6 + ((x2 + (x6 + x1)) / 0.1071113)) + 62.846016) / -0.3773397) * -2.666709)) * 2.6285884"
31,24915.645,"2.777432 * ((((-3.7707393 - (x0 / 0.18803269)) / -0.079013824) - ((x14 / 0.044998676) * (x10 + x2))) + (((62.835594 + (((x2 + x1) + x6) / 0.121178694)) / -0.35206506) * -2.5685053))"
33,24801.367,"((((-3.7707193 - (x0 / 0.18649717)) / -0.07707628) - ((x14 / 0.045229238) * (x10 + x2))) + (((((((x2 + x1) + x6) / 0.119515195) + 62.835583) * -2.5683331) / -0.35363585) - x5)) * 2.7773705"
35,24789.297,"((((-3.6243334 - (x0 / 0.19418408)) / -0.08080798) - ((x10 + x2) * (x14 / 0.048481166))) + ((((((x1 + (x2 + x6)) / 0.1221312) + 62.824436) / -0.3815208) * -2.5775883) + (x2 - x5))) * 2.992063"
37,24771.672,"((((-3.6243372 - (x0 / 0.19501941)) / -0.08158948) - ((x10 + x2) * (x14 / 0.04789637))) + ((((((((x1 + x2) + x6) / 0.12139393) + 62.82444) * -2.5776331) / -0.38084498) + x2) + (x0 - x5))) * 2.9920237"
39,24695.117,"(((((-3.6243334 - (x0 / 0.19418408)) / -0.08080798) - (((x2 + x10) * x14) / 0.048481166)) + (x5 / -0.7476082)) + ((x2 - x5) + ((((((x1 + x2) + x6) / 0.1221312) + 62.824436) / -0.3815208) * -2.5775883))) * 2.992063"
