Complexity,Loss,Equation
1,224400.7,"1337.4274"
3,201627.8,"-270.10925 / x8"
5,101370.125,"(x6 * 350.7411) + 1337.3818"
7,49301.625,"(x10 + (x6 + 4.7699056)) * 280.37912"
9,45271.047,"(x0 + ((x4 + x6) + 5.9051847)) * 226.47685"
11,33538.332,"(x1 + (((x6 + x0) + 7.9266205) + x3)) * 168.72023"
13,32459.623,"(x1 + ((x3 + ((x0 + x6) * 1.2846274)) + 9.045537)) * 147.85225"
15,31974.992,"(((x0 + x6) * 1.3475127) + (x3 + (x1 + 9.237246))) * (144.9511 - x5)"
17,30508.277,"((((((x6 * 1.2527859) + x3) + x0) + x1) * 165.93436) + 1337.3805) - (x7 * -55.401558)"
19,30495.922,"((((x6 * 1.2480649) + (x0 + (x1 + x3))) * 166.35349) - ((x7 * -55.59671) + x13)) + 1337.3823"
21,26922.576,"((((x2 * (2.5455022 - x12)) + 21.685219) - (x0 * -5.2808943)) * (8.813267 - x0)) * (x1 + (x6 + 7.3405128))"
23,25092.182,"((8.715404 - x0) * (((2.372027 - x12) * x2) + (22.935274 - ((x6 + -5.8191776) * x0)))) * ((x6 + 7.036391) + x1)"
25,24996.604,"((8.715404 - x0) * ((x1 + x6) + 7.036391)) * (((2.372027 - x12) * x2) + (22.935274 - (((0.16516536 + x3) + -5.8191776) * x0)))"
27,24957.549,"(((26.340345 - (x0 * (x3 + -6.6958885))) + (x2 * (3.8973148 - (x12 + 1.5540106)))) * ((7.637763 - x0) * (x1 + (x6 + 7.767801)))) + -151.80322"
29,23466.768,"(((26.41501 - ((x11 + -3.455382) * x0)) + x4) + (x2 * ((2.6532662 - x1) - (x2 + (x2 - 1.8121983))))) * (((x6 + 11.504521) + x1) * 4.8105526)"
31,22272.363,"(x6 + (x1 + 12.165382)) * ((((x1 - (x0 * (x11 + -4.2392883))) + (25.848743 - x5)) + (x2 * ((2.1898131 - x1) - ((x14 + x2) - 2.4796708)))) * 4.6574316)"
33,22176.775,"4.6479573 * (((((25.83831 + (x1 - ((x11 + -4.236238) * x0))) - x5) + (x2 * ((2.396242 - x1) - (x2 + (x14 - 2.267863))))) * (12.196701 + (x1 + x6))) + x7)"
35,22138.781,"4.6479573 * ((x6 + (((((25.83831 + x1) - ((x11 + -4.236238) * x0)) - x5) + (x2 * ((2.396242 - x1) - ((x2 + x14) - 2.267863)))) * (12.196701 + (x1 + x6)))) + x7)"
37,21516.363,"(((x0 * ((x5 * x14) - (x11 + -4.0447235))) + (x2 * ((2.4419346 - x1) - (x2 + (x14 - 2.2403245))))) + ((x1 + (24.907703 - x5)) - x14)) * ((x6 + (x1 + 12.522808)) * 4.712389)"
39,21482.12,"((x1 + ((((((2.5651267 - x1) - ((x14 + x2) - 2.117567)) * x2) + (x0 * ((x5 * x14) - (x11 + -4.036624)))) + (24.856188 - x5)) - x14)) * (((x1 + x6) + 12.541506) * 4.716319)) + x7"
