Complexity,Loss,Equation
1,224400.7,"1337.4293"
3,201627.81,"-270.12357 / x8"
4,101434.28,"abs(1158.9194 / x6)"
5,101370.125,"(x6 * 350.73483) + 1337.3871"
6,74879.83,"1934.4376 - exp(6.040848 - x11)"
7,49301.62,"((x6 + x10) * 280.3775) + 1337.3827"
9,45271.05,"(((x0 + x4) + x6) * 226.48076) + 1337.3815"
10,39490.277,"((x6 * 319.52164) + 1723.34) - exp(5.603417 - x10)"
11,33538.332,"((x3 + ((x6 + x0) + x1)) * 168.73965) + 1337.385"
12,32245.117,"abs(((((x0 + x3) + x6) + x1) * 176.57825) + 1331.0625)"
14,32236.16,"abs(((((x6 + x0) + (x3 + x1)) * 176.57825) + 1331.0625) + x2)"
15,32236.002,"abs((((x6 + (x0 + x1)) + x3) * 176.28104) + abs(x2 + 1331.0486))"
16,32047.395,"(abs(((x1 + x0) + (x3 + (x6 + 7.232306))) * 175.59982) - -61.844193) + x7"
17,26765.99,"(((x14 * -57.728443) - -184.44623) * (x2 + x0)) + (1399.0754 - ((x1 + x6) * -158.78632))"
19,26673.355,"(1400.4514 - ((x1 + x6) * (x12 + -159.19502))) + (((x14 * -57.571335) - -184.77373) * (x0 + x2))"
20,26419.768,"(((x2 + x0) * ((x14 * -57.571335) - -184.77373)) + 1400.4514) - ((x1 + x6) * (-159.19502 + exp(x12)))"
21,25136.627,"(1414.9031 - (((x14 * 35.633656) + -152.30547) * (x1 + x6))) + (((x0 + x2) * (x14 - 3.9129639)) * -46.75722)"
22,25136.402,"abs((1415.4756 - (((x14 * 35.813076) + -152.09628) * (x1 + x6))) + (((x0 + x2) * (x14 - 3.898178)) * -46.961132))"
23,24888.8,"(((x2 + x0) * (x0 + -43.80876)) * (x14 - 4.149312)) + (1417.4231 - (((x14 * 36.71658) + -152.03639) * (x6 + x1)))"
25,24866.922,"((((x0 + -43.679585) * (x0 + x2)) * (x14 - 4.1656737)) + 1416.7388) - ((x1 + x6) * (((x14 * 37.382324) + -152.17523) - x6))"
27,24814.344,"(1412.1251 - (((x6 + x1) * ((x0 + ((-3.534043 - x12) * x14)) + 20.509785)) * -7.8523)) + (((x14 * -48.422626) - -186.61578) * (x0 + x2))"
29,24799.402,"((1412.1251 - ((x6 + x1) * (((x0 + 20.509785) + (x14 * (-3.534043 - x12))) * -7.8523))) + ((x0 + x2) * ((x14 * -48.422626) - -186.61578))) - x6"
30,24798.352,"relu((1412.1251 - (((x6 + x1) * ((x0 + ((-3.534043 - x12) * x14)) + 20.509785)) * -7.8523)) + (((x14 * -48.422626) - -186.61578) * (x0 + x2))) + x1"
31,24542.312,"((x14 - 4.087141) * ((x0 + x2) * -46.271088)) + (1410.4247 - ((((x0 + 20.476665) + (((-2.0519826 - (x9 + x12)) * 1.5215132) * x2)) * (x1 + x6)) * -8.364985))"
33,24434.973,"((x2 + x0) * ((x14 - 4.106961) * -47.31024)) + (1408.1348 - (((x6 * 0.85195196) + x1) * (-6.915123 * (((x2 * (-5.2140794 - ((x9 + x12) * 2.2967634))) + 26.537312) + x0))))"
34,24427.678,"((x14 - 3.931798) * ((x2 + x0) * -49.591705)) + relu(1412.3733 - (((x6 * 0.84918815) + x1) * ((((x2 * (-4.6278634 - ((x9 + x2) * 1.9802331))) + x0) + 23.155928) * -7.8874125)))"
35,24383.678,"(((x0 + x2) * -48.94905) * (x14 - 4.0589786)) + (1410.9893 - ((x1 + (x6 * 0.8447929)) * (((((-4.264591 - ((x14 + x12) + (x9 / 0.36956307))) * x2) + x0) + 24.125595) * -7.7211947)))"
36,24255.67,"abs((1408.4647 - (((x6 * 0.8579942) + x1) * (((((-3.637305 - ((x12 + x12) + (x9 * 2.4482234))) * x2) + 21.810188) + x0) * -8.648523))) + ((x14 - 4.483797) * ((x0 + x2) * -43.912006)))"
37,24251.125,"(1410.9893 - (((x6 * 0.8447929) + x1) * ((((((-4.264591 - ((x14 + x12) + (x9 * 2.9135735))) * x2) + x0) + x0) + 24.125595) * -7.7211947))) + ((x0 + x2) * ((x14 - 4.0589786) * -48.94905))"
39,24215.232,"(1410.9893 - ((((x1 + (x6 * 0.8447929)) * ((((-4.264591 - ((x14 + x12) + (x9 * 2.9135735))) * x2) + (x0 + 24.125595)) + x0)) * -7.7211947) + x5)) + (((x2 + x0) * -48.94905) * (x14 - 4.0589786))"
