Complexity,Loss,Equation
1,224400.7,"1337.2865"
3,201627.81,"-270.12387 / x8"
5,101370.13,"(x6 - -3.8128016) * 350.7579"
7,49301.62,"((x6 + x10) + 4.7698946) * 280.37976"
9,41239.65,"(((x10 + x3) - -7.0247283) + x6) * 190.38283"
11,33538.324,"((x6 - -7.925923) + ((x1 + x3) + x0)) * 168.73378"
13,33324.445,"(x6 + 166.79373) * ((x1 + x0) + ((x3 + x6) - -8.007001))"
15,33158.71,"(((x3 + (x6 - -7.8868656)) + x0) + x1) * ((x7 * 4.1387663) + 170.26988)"
17,33102.145,"((((x3 + x6) - -7.880074) + (x0 + x1)) * ((x7 * 3.987126) + 170.39018)) + x7"
19,32778.02,"(((x6 + ((x10 + ((x0 + x3) + (x1 + 9.530972))) + 2.8323991)) + x6) / 0.009237472) + x2"
21,32496.053,"(x10 * -24.355568) + (((((x6 + 9.28794) + x10) + (x0 + 2.7657628)) + (x3 + (x1 + x6))) / 0.008879162)"
23,28825.145,"(x11 * (x10 * -44.422543)) + ((((x6 + 9.28794) + x10) + (((x0 + 2.7657628) + x3) + (x1 + x6))) / 0.008879162)"
25,28782.125,"(((x11 * x10) * -44.422543) + ((((9.28794 + x10) + ((x0 + 2.7657628) + (x3 + x1))) + (x6 + x6)) / 0.008879162)) + x2"
