Complexity,Loss,Equation
1,224400.7,"1337.4287"
3,223700.2,"x6 - -1337.4932"
5,101370.125,"(x6 * 350.74155) + 1337.3816"
7,49301.625,"((x6 + x10) * 280.37823) + 1337.3822"
9,41239.656,"(((x6 + x10) + x3) * 190.38638) + 1337.3821"
11,38665.984,"(((x10 + x6) * 226.95187) + (x3 * 130.357)) + 1337.3817"
13,35117.55,"((x1 * 171.91449) + 1337.3815) - ((x0 * -188.36555) - (x6 * 311.51398))"
17,31714.701,"(x1 * 167.15857) + (1337.3818 - (((x0 * -186.86224) - (x6 * 231.62465)) - (x2 * 99.53348)))"
19,31702.184,"1336.9121 - ((x0 * -172.81978) - (((x1 - ((-2.9653518 * (x6 + x3)) - x7)) + x1) * 63.589443))"
21,30504.86,"(158.74792 * x1) + (1339.5775 - ((x0 * -171.34908) - (((-3.0018506 * (x3 + x6)) - x7) * (x7 - 62.898933))))"
23,30257.99,"(1339.5775 + (x1 * 158.74792)) - ((x0 * -171.34908) - (((-3.0018506 * (x6 + x3)) - x7) * ((x12 * x12) - 62.898933)))"
25,30025.736,"(158.74792 * x1) + (1339.5775 - ((x0 * -171.34908) - (((-3.0018506 * (x3 + x6)) - x7) * (x12 + ((x8 + x7) - 62.898933)))))"
27,27818.271,"((x1 * 190.35077) + 1386.128) - (((x0 * -182.2929) - (((x1 - (x12 * 43.853092)) * (x11 + x3)) - (x6 * -182.15694))) - (x2 * 122.12463))"
29,27751.928,"((x1 * 190.35077) + 1386.128) - (((x0 * -182.2929) - ((((x1 + x13) - (x12 * 43.853092)) * (x11 + x3)) - (x6 * -182.15694))) - (x2 * 122.12463))"
31,27103.738,"(((x1 * 164.19461) + 1394.2258) - ((x0 * -200.27434) - ((((x0 + x2) * x11) * ((x14 + x0) - (42.094296 - x0))) - (x6 * -195.75371)))) - (x2 * -141.93925)"
33,27081.455,"((1036.717 - (((x0 * -214.56934) - (((x11 + x3) * (((x1 - (x12 * 41.887344)) - 28.231354) + x1)) - (x6 * -197.08899))) - (x2 * 163.57616))) + (x1 * 189.32463)) - -345.58365"
