Complexity,Loss,Equation
1,224400.7,"1337.4302"
3,223700.22,"x6 + 1337.3635"
5,101370.13,"(x6 * 350.74094) + 1337.384"
7,49301.62,"((x10 + x6) + 4.7700443) * 280.3712"
9,41239.652,"((x6 + 7.024633) + (x10 + x3)) * 190.38458"
11,34044.727,"(x1 + ((x0 + (x3 + 7.521014)) + x6)) * 176.42345"
13,32855.605,"((x0 + (x1 + (7.2352624 + x6))) * 185.02733) + (x3 * 139.2844)"
15,32246.246,"(x2 * 134.89186) + ((185.81458 - x12) * (((x1 + x6) + 7.204203) + x0))"
17,31209.986,"((x2 - (0.11409267 - x3)) * 76.83525) + (((x1 + (x0 + 7.5260167)) + x6) * 178.86594)"
19,29255.2,"(((x10 + ((0.8782979 - ((x0 + x14) * 0.31258655)) * (x12 + x11))) + x6) + 8.64127) * 167.6765"
21,28610.648,"(160.57426 - x12) * (((x10 + x6) + ((x11 + x12) * ((2.9389477 - (x14 + x0)) * 0.33512563))) + 9.045508)"
23,27546.166,"(9.310414 + ((x6 + x10) + ((1.0598072 - ((x0 + x14) * 0.34477004)) * (x11 + x12)))) * (156.80629 - (x12 / 0.34477004))"
25,25606.33,"(((x11 + x12) * (1.2635641 - ((x0 + x14) * 0.3472309))) + ((9.508474 + x6) + x10)) * ((155.99239 - x12) - (x12 / 0.12810951))"
27,25363.674,"(((x11 + x12) * (1.3615439 - ((x0 + x14) * 0.34286523))) + ((x6 + 9.589959) + x10)) * (((155.19882 - x12) - (x12 / 0.11028478)) + -1.2815934)"
29,25305.758,"((x6 + ((9.508474 + x10) + ((1.2635641 - ((x14 + x0) * 0.3498119)) * (x11 + x12)))) * ((155.99239 - x5) - (x6 + (x12 / 0.12810951)))) + -1.3701327"
31,24563.713,"(x10 + ((((((1.824856 - x1) * -1.5676072) + x14) + -5.1864743) * ((-0.13111046 - ((x0 + x14) * -0.041925885)) * (x11 + x12))) + (x6 + 10.067212))) * (147.09804 - x1)"
33,23641.297,"((171.01768 - x14) * (((-0.44070783 - ((x0 + x14) * -0.11821984)) * (((-4.4496465 - ((-2.2603261 - x1) * 0.6427604)) + x14) * (x12 + x11))) + (x10 + (x6 + 12.211085)))) * 0.72190684"
37,23209.217,"(x6 + ((((-0.15599449 - ((x14 + x0) * -0.030726397)) * (x11 + x12)) * (((0.24583519 - (x14 + x0)) * -1.0832105) + ((x14 + (x1 - 4.612134)) * 1.5135124))) + (x10 + 11.037461))) * (135.91292 - x1)"
