Complexity,Loss,Equation
1,224400.7,"1337.2874"
3,201627.81,"-270.12396 / x8"
4,101434.28,"abs(1158.9194 / x6)"
5,101370.125,"(x6 * 350.7805) + 1337.3809"
6,84059.42,"abs(x5 / x6) * 1159.4114"
7,49301.633,"((x6 + 4.76953) + x10) * 280.39188"
9,41239.652,"((x3 + (x10 + x6)) * 190.38577) + 1337.3822"
10,40958.516,"abs(((x3 + (x10 + x6)) + 6.8996468) * 193.51913)"
11,33538.332,"((x6 + (x1 + (x3 + x0))) * 168.7359) + 1337.382"
12,32245.086,"abs(((x3 + (x6 + (x1 + x0))) * 176.5987) + 1331.0038)"
14,30237.09,"(((x2 + x1) + ((x6 + x0) - relu(x2))) * 195.58847) + 1421.6892"
15,25680.562,"((((x2 + x6) + x0) + x1) * (167.13553 - (x14 * 39.46628))) + 1410.2966"
17,25607.395,"((x6 + (x2 + (x0 + x1))) * (166.33684 - (x14 * (39.88457 - x0)))) + 1411.1215"
19,24508.795,"((x5 / x0) + 1399.1791) + ((x1 + ((x2 + x6) + x0)) * (166.47252 - (x14 * 39.336185)))"
21,24437.08,"(((x6 + (x2 + x0)) + x1) * 188.06079) + (1396.5627 - ((x14 + ((x9 + x12) * x2)) / 0.018584259))"
22,23790.78,"(((x0 + (x2 + x6)) + x1) * 163.60281) + (1433.7738 - relu((x0 - ((x12 + x9) * x2)) / -0.013647117))"
23,23770.406,"((((x0 + (x6 + x2)) + x1) * 165.99678) - ((x0 - (((x14 + x12) + x9) * x2)) / -0.022235047)) + 1432.4248"
24,23430.455,"(((x2 + ((x6 + x1) + x0)) * 163.6076) + 1433.773) - relu((x0 - (x2 * ((x9 / 0.73473614) + x12))) / -0.0153363915)"
25,22790.467,"((162.27376 * (x0 + ((x1 + x2) + x6))) - relu((x0 - (abs(x0) + ((x12 + x9) * x2))) / -0.017882522)) + 1453.3054"
27,22781.992,"((162.27376 * (x0 + ((x1 + x2) + x6))) - relu((x0 - (abs(x0) + ((x12 + x9) * x2))) / -0.017882522)) + (1453.3054 - x9)"
28,22703.994,"((1427.6862 - (relu(x4) / x0)) + ((x6 + (x1 + (x2 + x0))) * 164.7639)) - ((x0 - ((x12 + (x9 + x14)) * x2)) / -0.02239231)"
29,22590.604,"((1434.7069 - (relu(x4) / x0)) + ((((x1 + x2) + x0) + x6) * 165.796)) - relu((x0 - ((x9 + (x14 + x12)) * x2)) / -0.021303656)"
30,22572.312,"((1434.7069 - (sqrt(relu(x4)) / x0)) + ((((x1 + x2) + x0) + x6) * 165.796)) - relu((x0 - (((x9 + x14) + x12) * x2)) / -0.021303656)"
31,22568.023,"(((1434.7069 - (relu(x4) / x0)) + (((x1 + (x2 + x0)) + x6) * 165.796)) - relu((x0 - ((x9 + (x14 + x12)) * x2)) / -0.021303656)) + x7"
32,22206.451,"((((((x0 + x1) + x2) + x6) * 162.27376) - relu((x0 - (abs(x0) + ((x12 + x9) * x2))) / -0.017882522)) + 1453.3054) - ((relu(x4) / x0) + 4.76669)"
37,22062.441,"((1448.839 - abs((relu(x13) + ((x2 * ((x6 * x2) + ((x0 + x2) + (x12 + x5)))) - x0)) / -0.024315855)) + ((((x2 + x0) + x1) + x6) * 177.16307)) + (x9 / x0)"
38,21994.334,"(((x6 + (x2 + (x1 + x0))) * 176.52704) + ((x1 / abs(x0)) + 1452.7107)) - abs((x0 - (relu(x13) + (x2 * (((x6 * x2) + (x5 + (x0 + x2))) + x12)))) / -0.023683526)"
39,21539.197,"((x6 + (x0 + (x1 + x2))) * 176.52704) + ((relu(x1 / abs(x0)) + 1452.7107) - abs((x0 - ((x2 * ((x6 * x2) + ((x5 + (x0 + x2)) + x12))) + relu(x13))) / -0.023757359))"
40,21539.195,"relu(((((x6 + (x2 + x0)) + x1) * 176.52704) + (relu(x1 / abs(x0)) + 1452.7107)) - abs((x0 - (relu(x13) + ((((x5 + (x0 + x2)) + x12) + (x6 * x2)) * x2))) / -0.023757359))"
