Complexity,Loss,Equation
1,224400.7,"1337.4279"
3,201627.8,"-270.1054 / x8"
5,101370.125,"(x6 * 350.74194) + 1337.3832"
7,49301.625,"((x6 + x10) + 4.769968) * 280.3756"
9,41239.652,"((x6 + (x3 + 7.024593)) + x10) * 190.38577"
11,33538.332,"((x6 + 7.925916) + ((x3 + x1) + x0)) * 168.73535"
13,33324.44,"(x6 + 166.77797) * (x1 + (((x3 + x0) + 8.007489) + x6))"
15,31230.248,"((((x6 + 7.509704) + ((x1 + x3) + x0)) * 3.3100255) + x7) * 53.801388"
17,30342.059,"(((x7 + -17.382538) * (x0 + (x3 + ((x6 + -2.0040154) + x1)))) * -10.356815) - -1688.2108"
19,28409.732,"((((x7 + x2) + -12.874042) * (x0 + ((x3 + x6) + (-2.0657067 + x1)))) * -13.235737) - -1699.7609"
21,27003.979,"((((x0 + ((x3 + x1) + x6)) + -1.8169835) * -14.728472) * (((x7 + -11.238646) + x14) + x11)) - -1674.7573"
25,26391.207,"((((((x6 + (x1 + x0)) + -2.2316945) + x3) * (((x11 / 0.41507846) + -12.910143) + x7)) + -138.95612) * -12.4621) - (0.8128179 / x0)"
27,26296.008,"((((((x0 + x3) + (-2.2588508 + x6)) + x1) * ((x11 / 0.40145746) + (-13.248413 + x7))) + -143.08745) * -12.137663) - ((x10 + 0.6501174) / x0)"
29,25734.562,"(((((x7 + -11.788826) + (x14 / 0.41307318)) * (x0 + (x6 + ((x3 + -1.3899808) + x1)))) + (x6 + -114.34427)) * -14.08975) - ((0.9064943 / x0) - -15.171493)"
31,25725.934,"(((((x6 + (x0 + 0.54)) + (x3 + (x1 + -1.8814445))) * ((x7 + -11.607391) + (x14 / 0.41962412))) + (x6 + -111.626755)) * -14.365121) - ((0.9077317 / x0) - -15.284427)"
33,25704.344,"(((x6 + ((x7 + ((x14 / 0.4197885) + -11.537282)) * ((x3 + x1) + (x0 + (x6 + -1.3115547))))) + -110.53435) * -14.441729) - (((0.9076741 / x0) - -14.90222) - (x8 + x2))"
35,25689.416,"((x6 + ((((((x1 + (x3 + x0)) + -0.82573473) + x6) + -0.51065516) * ((x7 + (x14 / 0.41946447)) + -11.436191)) + -109.50486)) * -14.632265) - (((x3 + (0.90587384 / x0)) - -12.011981) - x8)"
37,25635.57,"(((((x7 + (x14 / 0.41517234)) + -11.627403) * ((x3 + x1) + ((x6 + x0) + -1.3353611))) + (x6 + -111.58884)) * -14.36358) - ((((((x8 * x7) + 0.915109) / x0) - -15.689341) - x8) + x3)"
39,25632.28,"(((((x7 + ((x14 / 0.41201782) + -11.577571)) * ((x3 + x1) + (((x6 + 1.8783184) + x0) + -3.2246022))) + x6) + -111.37726) * -14.413245) - ((((((x8 * x7) + 0.905056) / x0) - -15.150958) - x8) + x3)"
