Complexity,Loss,Equation
1,224400.7,"1337.4298"
3,201627.81,"-270.12357 / x8"
5,101370.125,"(x6 * 350.74228) + 1337.3827"
7,49301.62,"((x6 + x10) * 280.3801) + 1337.3818"
9,41239.652,"(((x3 + x10) + x6) + 7.024589) * 190.3859"
11,33538.332,"((x1 + x6) + (x0 + (x3 + 7.9259))) * 168.7357"
13,33324.44,"(x6 + 166.79285) * (x0 + (((x3 + x1) + x6) + 8.006971))"
15,32584.293,"(170.07043 - (x12 * x14)) * ((x3 + (x0 + (x6 + x1))) + 7.8981223)"
17,27601.066,"(((-10.591975 - x12) * x14) + 192.29973) * (((x6 + 7.0823026) + x0) + (x1 + x2))"
25,25240.871,"(((-0.21133116 - x6) - (((x0 + ((x2 - ((x10 + x14) * (x2 * 0.34697512))) + 7.4181914)) / 0.8515996) + x1)) * -157.97621) + -1.5196459"
27,25224.584,"((-0.19336766 - x6) - (((x0 + ((x2 + 7.690064) - ((x10 + x14) * (x2 * 0.34849977)))) / 0.894888) + x1)) * ((x5 + -0.6235565) + -160.13354)"
29,25169.781,"((1.0786779 - x6) - ((x0 + (((x2 + x1) + 8.858858) - (x2 * ((((x14 * 2.2530036) + x4) + x5) * 0.18649581)))) / 0.8619942)) * (x12 + -154.52214)"
31,24459.248,"x6 + (((-3.1077335 - x6) - (((((x0 + 6.106659) - (x14 * ((((x10 + -2.2875214) + x10) - (x2 * -4.6367946)) * 0.14123477))) + x2) + x1) / 0.6944065)) * -122.225006)"
33,24369.06,"((-1.2452304 - x6) - ((((x1 + (x0 + 7.6307335)) - (x14 * (((((-1.125926 - (x2 * -1.7404232)) + x2) + x1) + x5) * 0.23917948))) + x2) / 0.7604871)) * (-128.13681 - x0)"
35,24223.342,"((-1.2452304 - x6) - ((((x1 + (x0 + 7.6307335)) - (x14 * ((((-1.125926 - (x2 * -1.7404232)) + x2) + (x1 + x5)) * 0.23917948))) + x2) / 0.7604871)) * (-128.13681 - (x2 + x0))"
37,24058.943,"((((-1.6276529 - x6) - ((((x2 + (x1 + x0)) + 6.7163157) - (x14 * (((x10 + x7) + ((-2.1222973 - (x2 * -5.498204)) + x10)) * 0.11946553))) / 0.6763284)) * -125.76297) + x2) - (x1 * 26.982185)"
39,23863.502,"((((-1.8510675 - x6) - (((((x2 + x1) + x0) + 6.601594) - ((x14 * (((x9 + (x7 * 0.54016894)) + (-1.9924438 - (x2 * -5.012712))) + x10)) * 0.12587613)) / 0.6640802)) * -123.27558) + x2) - (x1 * 20.696327)"
