Complexity,Loss,Equation
1,224400.7,"1337.4298"
3,201627.81,"-270.12357 / x8"
4,101434.28,"abs(-1158.9196 / x6)"
5,101370.13,"(x6 * 350.75632) - -1337.3729"
6,84059.42,"abs((x5 / x6) * -1159.4114)"
7,49301.625,"((x6 + x10) * 280.3785) - -1337.3816"
8,47100.23,"(x10 * 233.1982) - (-1153.1567 / abs(x6))"
9,41239.656,"(((x3 + x6) + x10) * 190.38554) - -1337.3728"
10,40958.516,"abs(((x10 + (x6 + x3)) * 193.50908) - -1335.2177)"
11,33538.33,"((x1 + (x6 + (x0 + x3))) * 168.73674) - -1337.382"
12,32245.053,"abs(((((x6 + x1) + x3) + x0) * -176.64606) + -1330.9963)"
14,32036.111,"abs(((x7 - 176.22313) * (x0 + ((x6 + x1) + x3))) + -1330.9263)"
15,25680.562,"(((x14 * -39.472187) + 167.13553) * (x2 + (x0 + (x6 + x1)))) + 1410.3268"
17,25329.03,"1408.3345 - ((x6 + (x2 + (x1 + (x0 * 1.1309221)))) * ((x14 * 38.125805) + -163.04819))"
19,24508.795,"(x5 / x0) - ((((x14 * 39.336166) + -166.47266) * (((x0 + x6) + x1) + x2)) + -1399.1791)"
20,23570.28,"(abs(x0) * -89.265945) - ((((x14 * 37.399498) + -167.72061) * (x6 + (x0 + (x1 + x2)))) + -1482.8708)"
21,23570.277,"abs(((((x14 * 37.40202) + -167.7203) * (x6 + (x0 + (x1 + x2)))) + -1482.8745) - (abs(x0) * -89.26694))"
22,23274.809,"(abs(x0) * -88.77436) - ((((x14 * 40.846046) + -176.0355) * ((x0 + (x2 + x1)) + (x6 * 0.8516846))) + -1484.7039)"
24,22927.615,"((x6 + abs(x0)) * -91.89837) - ((((x14 * 41.17613) + -172.52199) * (x0 + (((x2 + x6) * 1.2123439) + x1))) + -1506.5126)"
25,22464.842,"abs((-1499.9032 - ((x11 - 2.3263123) * abs(x0 * 40.84381))) + ((x2 + ((x0 + x6) + x1)) * ((x14 * 44.946594) + -153.56818)))"
26,22463.22,"x7 - (((((x1 + (x0 + x2)) + x6) * ((x14 * 45.54621) + -151.57013)) + -1496.2059) - (abs(x0 * 43.973244) * (x11 - 2.0727549)))"
27,22404.094,"abs((-1501.0626 - ((x11 - 2.3805795) * abs(x8 + (x0 * 40.52112)))) + (((x14 * 45.183605) + -154.09337) * (x6 + ((x0 + x2) + x1))))"
28,22229.17,"(-0.4632201 / x0) - ((((x2 + x6) + (x1 + x0)) * ((x14 * 45.36756) + -152.99503)) + (-1482.966 - ((x11 - 1.9260075) * abs(x0 * 41.489067))))"
30,21973.662,"((x4 * x9) / x0) - ((((x2 + (x1 + x6)) + x0) * ((x14 * 45.48698) + -151.59166)) + (-1495.4554 - ((x11 - 2.0636318) * abs(x0 * 43.90139))))"
31,21972.408,"relu(((x4 * x9) / x0) - ((-1495.2124 - ((x11 - 2.023235) * abs(x0 * 44.56127))) + (((x2 + (x1 + x6)) + x0) * ((x14 * 45.660557) + -150.99774))))"
32,21950.574,"(x7 + (x4 * (x9 / x0))) - (((((x2 + x1) + (x6 + x0)) * ((x14 * 45.736122) + -151.09271)) + -1495.4526) - ((x11 - 2.0218225) * abs(x0 * 44.65497)))"
34,21919.28,"((x1 * -0.53824973) / x0) - ((-1498.1031 - ((abs(x0 * 45.11605) * (x11 - 2.0906212)) + (2.2870517 ^ x8))) + (((x0 + x2) + (x1 + x6)) * ((x14 * 46.910664) + -152.76183)))"
35,21818.758,"(-0.6604481 / x0) - ((((x1 + ((x2 + x0) + x6)) * ((x14 * 52.32833) + -162.20348)) - ((((x6 + abs(x0 / 0.4409147)) + x13) * (x11 - abs(x0))) * 16.631687)) + -1452.4082)"
37,21755.379,"(-0.6441841 / x0) - (((((x14 * (x9 + 51.77172)) + -163.04648) * (x0 + ((x6 + x2) + x1))) + -1452.1239) - ((x11 - abs(x0)) * (((x13 + x6) + abs(x0 / 0.43975785)) * 16.76941)))"
38,21675.4,"abs((((x6 + (x2 + (x0 + x1))) * ((x14 * 51.487633) + -159.53178)) + (-1454.8064 - (((x6 + (abs(x0 / 0.3655735) + x13)) * 14.498464) * (x11 - abs(x0))))) - ((-0.5087391 - x10) / x0))"
39,21621.77,"abs((((((x14 * 52.16204) + -158.64743) * ((x0 + (x6 + x1)) + x2)) + -1457.7634) - (((x6 + abs(x0 / 0.5041403)) + relu(x13)) * ((x11 - abs(x0)) * 18.067926))) - ((-0.48543257 - x10) / x0))"
40,21556.428,"abs((((((x6 + (x0 + x2)) + x1) * ((x14 * 51.379078) + -159.72305)) - (((15.618191 - x12) * ((x13 + x6) + abs(x0 / 0.38307178))) * (x11 - abs(x0)))) + -1455.3357) - ((-0.5001317 - x10) / x0))"
