Complexity,Loss,Equation
1,224400.7,"1337.4296"
3,201627.81,"-270.12396 / x8"
5,101370.13,"(x6 * 350.78354) + 1337.3816"
7,49301.62,"((x10 + x6) + 4.769792) * 280.3834"
9,41239.652,"(((x10 + 7.024564) + x3) + x6) * 190.38478"
11,33538.324,"(x6 + ((x1 + (x0 + 7.925981)) + x3)) * 168.7349"
13,33324.44,"(x1 + (((x0 + x3) + 8.006857) + x6)) * (x6 + 166.79102)"
15,33033.42,"(162.31949 * ((((x1 + x0) + x3) + 8.248591) + x6)) + (x6 / 0.04166485)"
17,31187.125,"((x6 - 5.18218) + (((((x0 + -2.944686) * x10) + -23.10184) * -0.5762817) + x3)) * 172.12875"
19,31108.72,"((((x6 - 5.18218) + (-0.5762817 * (((x0 + -2.944686) * x10) + -23.10184))) + x3) * 172.12875) + x7"
21,25829.594,"(((((x12 * x11) + (-27.724934 + (x10 * (x0 + -4.09018)))) * -0.48993614) + x2) + (x6 - 4.973363)) * 166.07396"
23,25690.117,"(((((x11 * x12) + -27.724934) + (x10 * (x0 + -4.09018))) * -0.48993614) + ((x2 + x6) - 4.973363)) * (166.07396 - x2)"
25,25184.914,"((((x11 * x12) + ((x10 * (x0 + -4.1662917)) + -31.73233)) * -0.47305498) + ((x2 + x6) - 6.493134)) * (168.5919 - (x2 * x14))"
33,25180.818,"(((((((x0 + -4.09018) * x10) + ((x11 * x12) + -27.724934)) * -0.48993614) + (x2 + x6)) - 4.973363) * ((((166.07396 - x14) + x3) - x14) + x3)) + (-0.19998825 + -0.6288251)"
