Complexity,Loss,Equation
1,224400.7,"1337.4287"
3,223700.2,"x6 + 1337.2993"
5,101370.13,"(x6 * 350.7063) - -1337.3881"
7,49301.62,"((x6 + x10) - -4.770062) * 280.37332"
9,45271.047,"(x4 + ((x0 + x6) - -5.905183)) * 226.47987"
11,33538.332,"((x1 + (x3 + x0)) + (x6 - -7.9263263)) * 168.72728"
13,32459.623,"(((((x6 + x0) * 1.2845845) + x3) + x1) - -9.045412) * 147.85193"
15,30923.262,"((x3 + (x6 * (-0.32347554 / x7))) + ((x0 + x1) - -7.6726875)) * 171.58514"
17,30633.379,"((x3 + ((x6 * (-0.3257731 / x7)) + (x0 + x1))) - -7.71315) * (170.59007 - x7)"
19,30120.906,"(((x4 - x5) / 0.23047379) + 105.42514) * ((((x0 + x6) * 2.2015896) + (x1 + x3)) - -12.720932)"
21,29744.473,"((105.526146 - x12) + ((x1 - x5) / 0.20597446)) * (((x0 + x6) * 2.25084) + (x1 + (x3 - -12.739612)))"
23,28717.396,"(((x3 + ((x6 + x0) * 2.1816752)) - -12.72916) + x1) * (((x1 - x5) / 0.2365409) + (105.96626 - (x11 * x10)))"
25,28559.35,"(((x1 + ((x0 + x6) * 2.5107064)) - -13.644969) + x3) * (((x1 - x5) / 0.22556566) + ((99.11502 - (x10 * x11)) - x0))"
27,27696.848,"((157.06895 - (((x9 - 1.2229561) - x14) / (-0.17765011 / x5))) * ((((x0 + x6) * 1.4622247) + x3) + (x1 - -8.358035))) + (x3 * -76.236984)"
29,26797.414,"(((x1 - -8.516) + (((x6 + x0) * 1.5065955) + x3)) * (152.69446 - (((x9 - 1.1092454) + (x13 - x12)) / (-0.13521354 / x5)))) + (x3 * -79.364586)"
31,26777.713,"((((x1 - -8.515228) + ((x6 + x0) * 1.5029596)) + x3) * (152.70802 - (((x13 + (x9 - 1.1133302)) - x12) / (-0.13507552 / x5)))) + ((-78.435616 * x3) + x8)"
33,26627.797,"(((x1 - -8.515228) + (((x6 + x0) * 1.5029596) + x3)) * (152.70802 - ((x13 + ((x9 - 1.1133302) - x12)) / (-0.13507552 / x5)))) + ((x3 * -78.435616) + (x8 / x0))"
35,26301.016,"(((((((x14 * x1) * -4.9852834) - ((57.671978 - ((x0 + -9.128538) * 11.048783)) - (9.790527 / x6))) - -222.51944) - (x12 * (x12 - 12.634449))) + x3) * 20.241985) - ((x11 * x9) * 73.34716)"
37,25853.803,"(x3 - ((x11 * 73.34716) * x9)) + ((((((0.69950676 - (x14 * 5.68479)) * x1) - ((57.671978 - ((x0 + -9.128538) * 11.048783)) - (9.790527 / x6))) - -222.51944) - (x12 * (x12 - 12.634449))) * 20.241985)"
39,25687.066,"(x11 * ((x0 - 57.563507) * x14)) + ((((((3.3751276 - (x2 * 5.0097203)) * x1) - ((57.99939 - (11.349286 * (x0 + -8.3516))) - (9.26635 / x6))) - -222.2024) - ((x12 - 9.823749) * x12)) * (x3 + 18.414667))"
