trip_duration_days,miles_traveled,total_receipts_amount,miles_per_day,receipts_per_day,log_receipts,sqrt_miles,is_5day,is_long_trip,is_sweet_spot,is_receipts_over_800,is_receipts_under_50,is_rpd_under_20,is_efficient_miles,is_modest_short,is_modest_med,is_modest_long,is_vacation_penalty,is_miles_tier1,is_miles_tier2,is_cents_49,is_cents_99,days_x_miles,days_x_receipts,miles_x_receipts,miles_sq,receipts_sq,expected_output
3,93.0,1.42,30.99998966667011,0.4733331755556081,0.883767540168595,9.643650760992955,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,279.0,4.26,132.06,8649.0,2.0164,364.51
1,55.0,3.6,54.99994500005501,3.5999964000036004,1.5260563034950494,7.416198487095663,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,55.0,3.6,198.0,3025.0,12.96,126.06
1,47.0,17.97,46.999953000047,17.96998203001797,2.9428587839469227,6.855654600401044,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,47.0,17.97,844.5899999999999,2209.0,322.92089999999996,128.91
2,13.0,4.67,6.499996750001625,2.3349988325005837,1.7351891177396608,3.605551275463989,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,26.0,9.34,60.71,169.0,21.808899999999998,203.52
3,88.0,5.78,29.333323555558813,1.9266660244446585,1.9139771019523042,9.38083151964686,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,264.0,17.34,508.64000000000004,7744.0,33.4084,380.37
1,76.0,13.74,75.999924000076,13.739986260013742,2.6905648867611904,8.717797887081348,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,76.0,13.74,1044.24,5776.0,188.7876,158.35
3,41.0,4.52,13.666662111112629,1.5066661644446115,1.7083778602890038,6.4031242374328485,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,123.0,13.559999999999999,185.32,1681.0,20.430399999999995,320.12
1,140.0,22.71,139.99986000014002,22.709977290022714,3.165896900077314,11.832159566199232,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,140.0,22.71,3179.4,19600.0,515.7441,199.68
3,121.0,21.17,40.33331988889337,7.056664314445229,3.09874002362822,11.0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,363.0,63.510000000000005,2561.57,14641.0,448.16890000000006,464.07
3,117.0,21.99,38.99998700000433,7.329997556667481,3.1350593387750902,10.816653826391969,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,351.0,65.97,2572.83,13689.0,483.5600999999999,359.1
2,202.0,21.24,100.99994950002524,10.619994690002654,3.1018924693823817,14.212670403551895,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,404.0,42.48,4290.48,40804.0,451.1375999999999,356.17
3,80.0,21.05,26.66665777778074,7.016664327778558,3.093312601892855,8.94427190999916,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,240.0,63.150000000000006,1684.0,6400.0,443.1025,366.87
